program,target_header,stage_name,data_element_name,source_value,dhis2_value,transform,notes,org_unit,source_concept_name,source_concept_uuid
Neonatal Care Form,NICU Admission Careform :: Asphyxia,NICU Admission Careform,Asphyxia,False,No,,,,Asphyxia,3b2d76d6-f78c-455e-ace2-9448274bcd8c
Neonatal Care Form,NICU Admission Careform :: Asphyxia stage,NICU Admission Careform,Asphyxia stage,Stage 1,Stage 1,,,,Asphyxia stage,564dfac8-6f3f-430a-a6ad-427d86ce3ab2
Neonatal Care Form,NICU Admission Careform :: Asphyxia stage,NICU Admission Careform,Asphyxia stage,Stage 2,Stage 2,,,,Asphyxia stage,564dfac8-6f3f-430a-a6ad-427d86ce3ab2
Neonatal Care Form,NICU Admission Careform :: Asphyxia stage,NICU Admission Careform,Asphyxia stage,Stage 3,Stage 3,,,,Asphyxia stage,564dfac8-6f3f-430a-a6ad-427d86ce3ab2
Neonatal Care Form,NICU Admission Careform :: Atm air or with O2,NICU Admission Careform,Atm air or with O2,Atm air,Atm air,,,,Atm air or with O2,57492932-e39f-459b-bd39-71882be2d823
Neonatal Care Form,NICU Admission Careform :: Atm air or with O2,NICU Admission Careform,Atm air or with O2,with O2,with O2,,,,Atm air or with O2,57492932-e39f-459b-bd39-71882be2d823
Neonatal Care Form,NICU Admission Careform :: Birth weight category,NICU Admission Careform,Birth weight category,LGA,LGA,,,,Birth weight category,33a128a2-0ef9-403c-85c6-0b0f2ef69d5a
Neonatal Care Form,NICU Admission Careform :: Birth weight category,NICU Admission Careform,Birth weight category,AGA,AGA,,,,Birth weight category,33a128a2-0ef9-403c-85c6-0b0f2ef69d5a
Neonatal Care Form,NICU Admission Careform :: Birth weight category,NICU Admission Careform,Birth weight category,SGA,SGA,,,,Birth weight category,33a128a2-0ef9-403c-85c6-0b0f2ef69d5a
Neonatal Care Form,NICU Admission Careform :: Blood group and Rh n,NICU Admission Careform,Blood group and Rh n,A-,A+,,,,blood group and RH,38ddc808-e418-4811-83ce-6076a636a52d
Neonatal Care Form,NICU Admission Careform :: Blood group and Rh n,NICU Admission Careform,Blood group and Rh n,B−,B+,,,,blood group and RH,38ddc808-e418-4811-83ce-6076a636a52d
Neonatal Care Form,NICU Admission Careform :: Blood group and Rh n,NICU Admission Careform,Blood group and Rh n,AB−,AB+,,,,blood group and RH,38ddc808-e418-4811-83ce-6076a636a52d
Neonatal Care Form,NICU Admission Careform :: Blood group and Rh n,NICU Admission Careform,Blood group and Rh n,O−,O+,,,,blood group and RH,38ddc808-e418-4811-83ce-6076a636a52d
Neonatal Care Form,NICU Admission Careform :: Breastfeeding initiated within 1 hr of birth,NICU Admission Careform,Breastfeeding initiated within 1 hr of birth,True,Yes,,,,Breastfeeding initiated within 1 hr of birth,80ba56ae-2e88-492a-9dd5-d91dd9ffe548
Neonatal Care Form,NICU Admission Careform :: Breastfeeding initiated within 1 hr of birth,NICU Admission Careform,Breastfeeding initiated within 1 hr of birth,False,No,,,,Breastfeeding initiated within 1 hr of birth,80ba56ae-2e88-492a-9dd5-d91dd9ffe548
Neonatal Care Form,NICU Admission Careform :: Breastfeeding initiated within 1 hr of birth,NICU Admission Careform,Breastfeeding initiated within 1 hr of birth,-2:Unknown,Unknown,,,,Breastfeeding initiated within 1 hr of birth,80ba56ae-2e88-492a-9dd5-d91dd9ffe548
Neonatal Care Form,NICU Admission Careform :: Cord Chlorhexidine Administered,NICU Admission Careform,Cord Chlorhexidine Administered,True,Yes,,,,Cord Chlorhexidine Administered,9b8be91d-4fc8-4691-9cfa-6e9256a191ad
Neonatal Care Form,NICU Admission Careform :: Cord Chlorhexidine Administered,NICU Admission Careform,Cord Chlorhexidine Administered,False,No,,,,Cord Chlorhexidine Administered,9b8be91d-4fc8-4691-9cfa-6e9256a191ad
Neonatal Care Form,NICU Admission Careform :: Cord Chlorhexidine Administered,NICU Admission Careform,Cord Chlorhexidine Administered,-2:Unknown,Unknown,,,,Cord Chlorhexidine Administered,9b8be91d-4fc8-4691-9cfa-6e9256a191ad
Neonatal Care Form,NICU Admission Careform :: Day/Night Local time,NICU Admission Careform,Day/Night Local time,DLT,DLT,,,,Day/Night Local time,1eeccd71-9195-4548-8427-70faec8317fa
Neonatal Care Form,NICU Admission Careform :: Day/Night Local time,NICU Admission Careform,Day/Night Local time,NLT,NLT,,,,Day/Night Local time,1eeccd71-9195-4548-8427-70faec8317fa
Neonatal Care Form,NICU Admission Careform :: Dysmorphysim,NICU Admission Careform,Dysmorphysim,True,Yes,,,,Dysmorphysim,f81a0d97-a8c9-428f-8a57-b4fc9b59f961
Neonatal Care Form,NICU Admission Careform :: Dysmorphysim,NICU Admission Careform,Dysmorphysim,False,No,,,,Dysmorphysim,f81a0d97-a8c9-428f-8a57-b4fc9b59f961
Neonatal Care Form,"NICU Admission Careform :: If Resuscitated, tick what was done",NICU Admission Careform,"If Resuscitated, tick what was done",Supplemental oxygen,Supplemental oxygen,,,,"If Resuscitated, tick what was done",0743e6be-6747-43a4-8f7e-27ff5f21fd50
Neonatal Care Form,"NICU Admission Careform :: If Resuscitated, tick what was done",NICU Admission Careform,"If Resuscitated, tick what was done",Bag mask ventilation,Bag mask ventilation,,,,"If Resuscitated, tick what was done",0743e6be-6747-43a4-8f7e-27ff5f21fd50
Neonatal Care Form,"NICU Admission Careform :: If Resuscitated, tick what was done",NICU Admission Careform,"If Resuscitated, tick what was done",Chest compression,Chest compression,,,,"If Resuscitated, tick what was done",0743e6be-6747-43a4-8f7e-27ff5f21fd50
Neonatal Care Form,"NICU Admission Careform :: If Resuscitated, tick what was done",NICU Admission Careform,"If Resuscitated, tick what was done",Intubation,Intubation,,,,"If Resuscitated, tick what was done",0743e6be-6747-43a4-8f7e-27ff5f21fd50
Neonatal Care Form,"NICU Admission Careform :: If Resuscitated, tick what was done",NICU Admission Careform,"If Resuscitated, tick what was done",Epinephrine,Epinephrine,,,,"If Resuscitated, tick what was done",0743e6be-6747-43a4-8f7e-27ff5f21fd50
Neonatal Care Form,"NICU Admission Careform :: If Resuscitated, tick what was done",NICU Admission Careform,"If Resuscitated, tick what was done",Fluid administered,Fluid administered,,,,"If Resuscitated, tick what was done",0743e6be-6747-43a4-8f7e-27ff5f21fd50
Neonatal Care Form,NICU Admission Careform :: if Unknown,NICU Admission Careform,if Unknown,cried immediately,cried immediately,,,,if Unknown,efe47e77-33a9-42a6-aff2-25e3e264ce6a
Neonatal Care Form,NICU Admission Careform :: if Unknown,NICU Admission Careform,if Unknown,not cried immediately,not cried immediately,,,,if Unknown,efe47e77-33a9-42a6-aff2-25e3e264ce6a
Neonatal Care Form,NICU Admission Careform :: Infant given prophylaxis,NICU Admission Careform,Infant given prophylaxis,True,Yes,,,,Infant given prophylaxis,24a0e948-16a4-4c81-9afb-84c041747117
Neonatal Care Form,NICU Admission Careform :: Infant given prophylaxis,NICU Admission Careform,Infant given prophylaxis,False,No,,,,Infant given prophylaxis,24a0e948-16a4-4c81-9afb-84c041747117
Neonatal Care Form,NICU Admission Careform :: Labor was,NICU Admission Careform,Labor was,Spontaneous,Spontaneous,,,,Labor was,53ba222f-fd90-41d5-b0da-f0774694991b
Neonatal Care Form,NICU Admission Careform :: Labor was,NICU Admission Careform,Labor was,Induced,Induced,,,,Labor was,53ba222f-fd90-41d5-b0da-f0774694991b
Neonatal Care Form,NICU Admission Careform :: Labor was,NICU Admission Careform,Labor was,Augmented,Augmented,,,,Labor was,53ba222f-fd90-41d5-b0da-f0774694991b
Neonatal Care Form,NICU Admission Careform :: LNMP known n,NICU Admission Careform,LNMP known n,Yes,Yes,,,,LNMP known,c62a8a2c-7eb9-4232-bedc-4af8c290391d
Neonatal Care Form,NICU Admission Careform :: LNMP known n,NICU Admission Careform,LNMP known n,No,No,,,,LNMP known,c62a8a2c-7eb9-4232-bedc-4af8c290391d
Neonatal Care Form,NICU Admission Careform :: Maternal medication during pregnancy and labor,NICU Admission Careform,Maternal medication during pregnancy and labor,Antibiotic,Antibiotic,,,,Maternal medication during pregnancy and labor,85bf2ce2-e63e-43c3-b47b-103153f33e69
Neonatal Care Form,NICU Admission Careform :: Maternal medication during pregnancy and labor,NICU Admission Careform,Maternal medication during pregnancy and labor,Dexamethasone,Dexamethasone,,,,Maternal medication during pregnancy and labor,85bf2ce2-e63e-43c3-b47b-103153f33e69
Neonatal Care Form,NICU Admission Careform :: Maternal medication during pregnancy and labor,NICU Admission Careform,Maternal medication during pregnancy and labor,Betamethasone,Betamethasone,,,,Maternal medication during pregnancy and labor,85bf2ce2-e63e-43c3-b47b-103153f33e69
Neonatal Care Form,NICU Admission Careform :: Maternal medication during pregnancy and labor,NICU Admission Careform,Maternal medication during pregnancy and labor,Magnesium Sulphate,Magnesium Sulphate,,,,Maternal medication during pregnancy and labor,85bf2ce2-e63e-43c3-b47b-103153f33e69
Neonatal Care Form,NICU Admission Careform :: Maternal medication during pregnancy and labor,NICU Admission Careform,Maternal medication during pregnancy and labor,Other Medication,Other Medication,,,,Maternal medication during pregnancy and labor,85bf2ce2-e63e-43c3-b47b-103153f33e69
Neonatal Care Form,NICU Admission Careform :: Maternal Status,NICU Admission Careform,Maternal Status,Alive,Alive,,,,Maternal Status,c3dd063d-ef16-45fc-b936-9870d17d3066
Neonatal Care Form,NICU Admission Careform :: Maternal Status,NICU Admission Careform,Maternal Status,Dead,Dead,,,,Maternal Status,c3dd063d-ef16-45fc-b936-9870d17d3066
Neonatal Care Form,NICU Admission Careform :: Membrane ruptured,NICU Admission Careform,Membrane ruptured,spontaneously,spontaneously,,,,Membrane ruptured,37f3790e-fbd8-4c67-9158-60bae6a27423
Neonatal Care Form,NICU Admission Careform :: Membrane ruptured,NICU Admission Careform,Membrane ruptured,Artificially,Artificially,,,,Membrane ruptured,37f3790e-fbd8-4c67-9158-60bae6a27423
Neonatal Care Form,NICU Admission Careform :: Mode of delivery n,NICU Admission Careform,Mode of delivery n,SVD,SVD,,,,Mode of delivery,a13314b9-3048-450f-a783-1e1d8d02f87b
Neonatal Care Form,NICU Admission Careform :: Mode of delivery n,NICU Admission Careform,Mode of delivery n,Cesarean delivery Emergency,Caesarean Section,,,,Mode of delivery,a13314b9-3048-450f-a783-1e1d8d02f87b
Neonatal Care Form,NICU Admission Careform :: Mother HIV status n,NICU Admission Careform,Mother HIV status n,HIV Negative,Negative,,,,mother HIV status,4aba9eea-3a4e-4301-97ec-a9677094e0ad
Neonatal Care Form,NICU Admission Careform :: Mother HIV status n,NICU Admission Careform,Mother HIV status n,HIV Positive,Positive,,,,mother HIV status,4aba9eea-3a4e-4301-97ec-a9677094e0ad
Neonatal Care Form,NICU Admission Careform :: Mother HIV status n,NICU Admission Careform,Mother HIV status n,Unknown HIV status,Unknown,,,,mother HIV status,4aba9eea-3a4e-4301-97ec-a9677094e0ad
Neonatal Care Form,NICU Admission Careform :: Mothers educational status,NICU Admission Careform,Mothers educational status,Unable to read and write,Unable to read and write,,,,Mothers educational status,018a4f22-2644-4b1c-95d8-829b51468a2a
Neonatal Care Form,NICU Admission Careform :: Mothers educational status,NICU Admission Careform,Mothers educational status,Able to read and write,Able to read and write,,,,Mothers educational status,018a4f22-2644-4b1c-95d8-829b51468a2a
Neonatal Care Form,NICU Admission Careform :: Mothers educational status,NICU Admission Careform,Mothers educational status,Primary Education (1-8),Primary Education (1-8),,,,Mothers educational status,018a4f22-2644-4b1c-95d8-829b51468a2a
Neonatal Care Form,NICU Admission Careform :: Mothers educational status,NICU Admission Careform,Mothers educational status,Secondary Education (9-12),Secondary Education (9-12),,,,Mothers educational status,018a4f22-2644-4b1c-95d8-829b51468a2a
Neonatal Care Form,NICU Admission Careform :: Mothers educational status,NICU Admission Careform,Mothers educational status,College and Above,College and Above,,,,Mothers educational status,018a4f22-2644-4b1c-95d8-829b51468a2a
Neonatal Care Form,NICU Admission Careform :: Mothers occupation,NICU Admission Careform,Mothers occupation,Housewife,Housewife,,,,Mothers occupation,1923f2cc-e539-4704-847f-9809a57f2c91
Neonatal Care Form,NICU Admission Careform :: Mothers occupation,NICU Admission Careform,Mothers occupation,Farmer,Farmer,,,,Mothers occupation,1923f2cc-e539-4704-847f-9809a57f2c91
Neonatal Care Form,NICU Admission Careform :: Mothers occupation,NICU Admission Careform,Mothers occupation,Government Employee,Government Employee,,,,Mothers occupation,1923f2cc-e539-4704-847f-9809a57f2c91
Neonatal Care Form,NICU Admission Careform :: Mothers occupation,NICU Admission Careform,Mothers occupation,Self Employed,Self Employed,,,,Mothers occupation,1923f2cc-e539-4704-847f-9809a57f2c91
Neonatal Care Form,NICU Admission Careform :: Mothers occupation,NICU Admission Careform,Mothers occupation,NGO employed,NGO employed,,,,Mothers occupation,1923f2cc-e539-4704-847f-9809a57f2c91
Neonatal Care Form,NICU Admission Careform :: Mothers occupation,NICU Admission Careform,Mothers occupation,Daily labour,Daily labour,,,,Mothers occupation,1923f2cc-e539-4704-847f-9809a57f2c91
Neonatal Care Form,NICU Admission Careform :: Mothers occupation,NICU Admission Careform,Mothers occupation,Private company employee,Private company employee,,,,Mothers occupation,1923f2cc-e539-4704-847f-9809a57f2c91
Neonatal Care Form,NICU Admission Careform :: Mothers religion n,NICU Admission Careform,Mothers religion n,ACIF R Orthodox,Orthodox,,,,Mothers religion,3737a36d-c6be-4bd4-a316-59b897d2898c
Neonatal Care Form,NICU Admission Careform :: Mothers religion n,NICU Admission Careform,Mothers religion n,ACIF R Muslim,Muslim,,,,Mothers religion,3737a36d-c6be-4bd4-a316-59b897d2898c
Neonatal Care Form,NICU Admission Careform :: Mothers religion n,NICU Admission Careform,Mothers religion n,ACIF R Protestant,Protestant,,,,Mothers religion,3737a36d-c6be-4bd4-a316-59b897d2898c
Neonatal Care Form,NICU Admission Careform :: Mothers religion n,NICU Admission Careform,Mothers religion n,ACIF R Catholic,Catholic,,,,Mothers religion,3737a36d-c6be-4bd4-a316-59b897d2898c
Neonatal Care Form,NICU Admission Careform :: Mothers religion n,NICU Admission Careform,Mothers religion n,Other Notes,Other,,,,Mothers religion,3737a36d-c6be-4bd4-a316-59b897d2898c
Neonatal Care Form,NICU Admission Careform :: Place of ANC follow up,NICU Admission Careform,Place of ANC follow up,Health Post,Health Post,,,,Place of ANC follow up,f34fb6d6-9bc1-45b2-b37c-d199ca1a5acc
Neonatal Care Form,NICU Admission Careform :: Place of ANC follow up,NICU Admission Careform,Place of ANC follow up,Health Center,Health Center,,,,Place of ANC follow up,f34fb6d6-9bc1-45b2-b37c-d199ca1a5acc
Neonatal Care Form,NICU Admission Careform :: Place of ANC follow up,NICU Admission Careform,Place of ANC follow up,Primary Hospital,Primary Hospital,,,,Place of ANC follow up,f34fb6d6-9bc1-45b2-b37c-d199ca1a5acc
Neonatal Care Form,NICU Admission Careform :: Place of ANC follow up,NICU Admission Careform,Place of ANC follow up,General hospital,General hospital,,,,Place of ANC follow up,f34fb6d6-9bc1-45b2-b37c-d199ca1a5acc
Neonatal Care Form,NICU Admission Careform :: Place of ANC follow up,NICU Admission Careform,Place of ANC follow up,Private hospital,Private hospital,,,,Place of ANC follow up,f34fb6d6-9bc1-45b2-b37c-d199ca1a5acc
Neonatal Care Form,NICU Admission Careform :: Place of ANC follow up,NICU Admission Careform,Place of ANC follow up,Referral Hospital,Referral Hospital,,,,Place of ANC follow up,f34fb6d6-9bc1-45b2-b37c-d199ca1a5acc
Neonatal Care Form,NICU Admission Careform :: Placed skin to skin at birth,NICU Admission Careform,Placed skin to skin at birth,True,Yes,,,,Placed skin to skin at birth,c6686ef2-21d7-4a92-bca1-960099f4c286
Neonatal Care Form,NICU Admission Careform :: Placed skin to skin at birth,NICU Admission Careform,Placed skin to skin at birth,False,No,,,,Placed skin to skin at birth,c6686ef2-21d7-4a92-bca1-960099f4c286
Neonatal Care Form,NICU Admission Careform :: Placed skin to skin at birth,NICU Admission Careform,Placed skin to skin at birth,-2:Unknown,Unknown,,,,Placed skin to skin at birth,c6686ef2-21d7-4a92-bca1-960099f4c286
Neonatal Care Form,NICU Admission Careform :: Received delayed cord clamping,NICU Admission Careform,Received delayed cord clamping,True,Yes,,,,Received delayed cord clamping,2bd57853-669e-4746-88fa-c59f360fbc3c
Neonatal Care Form,NICU Admission Careform :: Received delayed cord clamping,NICU Admission Careform,Received delayed cord clamping,False,No,,,,Received delayed cord clamping,2bd57853-669e-4746-88fa-c59f360fbc3c
Neonatal Care Form,NICU Admission Careform :: Received delayed cord clamping,NICU Admission Careform,Received delayed cord clamping,-2:Unknown,Unknown,,,,Received delayed cord clamping,2bd57853-669e-4746-88fa-c59f360fbc3c
Neonatal Care Form,NICU Admission Careform :: Significant events during current or previous pregnancy,NICU Admission Careform,Significant events during current or previous pregnancy,HDP Complication,HDP,,,,Significant events during current or this pregnancy,6c181756-b4ef-4bb4-b872-f141e032b740
Neonatal Care Form,NICU Admission Careform :: Significant events during current or previous pregnancy,NICU Admission Careform,Significant events during current or previous pregnancy,PROM Complication,PROM,,,,Significant events during current or this pregnancy,6c181756-b4ef-4bb4-b872-f141e032b740
Neonatal Care Form,NICU Admission Careform :: Significant events during current or previous pregnancy,NICU Admission Careform,Significant events during current or previous pregnancy,GDM Complication,GDM,,,,Significant events during current or this pregnancy,6c181756-b4ef-4bb4-b872-f141e032b740
Neonatal Care Form,NICU Admission Careform :: Significant events during current or previous pregnancy,NICU Admission Careform,Significant events during current or previous pregnancy,APH Complication,APH,,,,Significant events during current or this pregnancy,6c181756-b4ef-4bb4-b872-f141e032b740
Neonatal Care Form,NICU Admission Careform :: Significant events during current or previous pregnancy,NICU Admission Careform,Significant events during current or previous pregnancy,amniotic fluid abnormality,Amniotic fluid abnormalities,,,,Significant events during current or this pregnancy,6c181756-b4ef-4bb4-b872-f141e032b740
Neonatal Care Form,NICU Admission Careform :: Significant events during current or previous pregnancy,NICU Admission Careform,Significant events during current or previous pregnancy,Others (Specify),Others (specify),,,,Significant events during current or this pregnancy,6c181756-b4ef-4bb4-b872-f141e032b740
Neonatal Care Form,NICU Admission Careform :: Time of birth NLT or DLT n,NICU Admission Careform,Time of birth NLT or DLT n,DLT,DLT,,,,Time of birth NLT or DLT n,6a8f0abf-2c40-4a89-9023-20cd5a67fbec
Neonatal Care Form,NICU Admission Careform :: Time of birth NLT or DLT n,NICU Admission Careform,Time of birth NLT or DLT n,NLT,NLT,,,,Time of birth NLT or DLT n,6a8f0abf-2c40-4a89-9023-20cd5a67fbec
Neonatal Care Form,NICU Admission Careform :: Transferred to NICU with,NICU Admission Careform,Transferred to NICU with,Intranasal low flow O2,Intranasal low flow O2,,,,Transferred to NICU with,84fb5426-f123-4e32-99f9-9013ac864f82
Neonatal Care Form,NICU Admission Careform :: Transferred to NICU with,NICU Admission Careform,Transferred to NICU with,CPAP,CPAP,,,,Transferred to NICU with,84fb5426-f123-4e32-99f9-9013ac864f82
Neonatal Care Form,NICU Admission Careform :: Transferred to NICU with,NICU Admission Careform,Transferred to NICU with,Atmospheric air,Atmospheric air,,,,Transferred to NICU with,84fb5426-f123-4e32-99f9-9013ac864f82
Neonatal Care Form,NICU Admission Careform :: Transferred to NICU with,NICU Admission Careform,Transferred to NICU with,Plastic wrap,Plastic wrap,,,,Transferred to NICU with,84fb5426-f123-4e32-99f9-9013ac864f82
Neonatal Care Form,NICU Admission Careform :: Transferred to NICU with,NICU Admission Careform,Transferred to NICU with,STS care,STS care,,,,Transferred to NICU with,84fb5426-f123-4e32-99f9-9013ac864f82
Neonatal Care Form,NICU Admission Careform :: TT Vaccine n,NICU Admission Careform,TT Vaccine n,True,Yes,,,,TT Vaccine,d7916e8b-7027-41b0-b95d-34e59e49a35b
Neonatal Care Form,NICU Admission Careform :: TT Vaccine n,NICU Admission Careform,TT Vaccine n,False,No,,,,TT Vaccine,d7916e8b-7027-41b0-b95d-34e59e49a35b
Neonatal Care Form,NICU Admission Careform :: TTC eye ointment,NICU Admission Careform,TTC eye ointment,True,Yes,,,,TTC eye ointment,8d47b984-262c-4f10-b181-d237130eab21
Neonatal Care Form,NICU Admission Careform :: TTC eye ointment,NICU Admission Careform,TTC eye ointment,False,No,,,,TTC eye ointment,8d47b984-262c-4f10-b181-d237130eab21
Neonatal Care Form,NICU Admission Careform :: TTC eye ointment,NICU Admission Careform,TTC eye ointment,-2:Unknown,Unknown,,,,TTC eye ointment,8d47b984-262c-4f10-b181-d237130eab21
Neonatal Care Form,NICU Admission Careform :: VDRL n,NICU Admission Careform,VDRL n,Positive,Positive,,,,VDRL?,ff8521d4-83bf-4728-8883-7e10e447bdc5
Neonatal Care Form,NICU Admission Careform :: VDRL n,NICU Admission Careform,VDRL n,Negative,Negative,,,,VDRL?,ff8521d4-83bf-4728-8883-7e10e447bdc5
Neonatal Care Form,NICU Admission Careform :: VDRL n,NICU Admission Careform,VDRL n,Not Done,Not Done,,,,VDRL?,ff8521d4-83bf-4728-8883-7e10e447bdc5
Neonatal Care Form,NICU Admission Careform :: Vitamin K given birth,NICU Admission Careform,Vitamin K given birth,True,Yes,,,,Vitamin K given birth,55f3174c-0c38-4a7a-9c07-1c1c730ba9bf
Neonatal Care Form,NICU Admission Careform :: Vitamin K given birth,NICU Admission Careform,Vitamin K given birth,False,No,,,,Vitamin K given birth,55f3174c-0c38-4a7a-9c07-1c1c730ba9bf
Neonatal Care Form,NICU Admission Careform :: Vitamin K given birth,NICU Admission Careform,Vitamin K given birth,-2:Unknown,Unknown,,,,Vitamin K given birth,55f3174c-0c38-4a7a-9c07-1c1c730ba9bf
Neonatal Care Form,Nurse followup Sheet :: Family Involvement,Nurse followup Sheet,Family Involvement,True,Yes,,,,Family Involvement,7ac68f12-ef61-4178-a5d7-4eb9e5674295
Neonatal Care Form,Nurse followup Sheet :: Family Involvement,Nurse followup Sheet,Family Involvement,False,No,,,,Family Involvement,7ac68f12-ef61-4178-a5d7-4eb9e5674295
Neonatal Care Form,Nurse followup Sheet :: IV line check,Nurse followup Sheet,IV line check,True,Yes,,,,IV line check,25e98d2e-ce98-4771-871e-f8456a106024
Neonatal Care Form,Nurse followup Sheet :: IV line check,Nurse followup Sheet,IV line check,False,No,,,,IV line check,25e98d2e-ce98-4771-871e-f8456a106024
Neonatal Care Form,Nurse followup Sheet :: Kmc done,Nurse followup Sheet,Kmc done,True,Yes,,,,Kmc done,344dab92-bfff-4681-9512-2fe1ab4d4e97
Neonatal Care Form,Nurse followup Sheet :: Kmc done,Nurse followup Sheet,Kmc done,False,No,,,,Kmc done,344dab92-bfff-4681-9512-2fe1ab4d4e97
Neonatal Care Form,Nurse followup Sheet :: Lab blood draw,Nurse followup Sheet,Lab blood draw,True,Yes,,,,Lab blood draw,83b11e86-3787-444d-8034-d4d3be8176cf
Neonatal Care Form,Nurse followup Sheet :: Lab blood draw,Nurse followup Sheet,Lab blood draw,False,No,,,,Lab blood draw,83b11e86-3787-444d-8034-d4d3be8176cf
Neonatal Care Form,Nurse followup Sheet :: Medications Given,Nurse followup Sheet,Medications Given,True,Yes,,,,Medications Given,0ce5366b-c190-4f2d-bba0-ba1b4cf8627a
Neonatal Care Form,Nurse followup Sheet :: Medications Given,Nurse followup Sheet,Medications Given,False,No,,,,Medications Given,0ce5366b-c190-4f2d-bba0-ba1b4cf8627a
Neonatal Care Form,Nurse followup Sheet :: Mode of feeding,Nurse followup Sheet,Mode of feeding,Cup,cup,,,,Mode of feeding?,d768cca5-4544-4667-a98c-2fcd5b1a6bc8
Neonatal Care Form,Nurse followup Sheet :: Mode of feeding,Nurse followup Sheet,Mode of feeding,Direct BF,direct,,,,Mode of feeding?,d768cca5-4544-4667-a98c-2fcd5b1a6bc8
Neonatal Care Form,Nurse followup Sheet :: Mode of feeding,Nurse followup Sheet,Mode of feeding,NG TUBE feeding,Ng tube,,,,Mode of feeding?,d768cca5-4544-4667-a98c-2fcd5b1a6bc8
Neonatal Care Form,Nurse followup Sheet :: Oxygen Source,Nurse followup Sheet,Oxygen Source,INO2,INO2,,,,Oxygen Source,7277f1f8-5523-4b5a-8830-6459b9ba0864
Neonatal Care Form,Nurse followup Sheet :: Oxygen Source,Nurse followup Sheet,Oxygen Source,Head Hood,Head Hood,,,,Oxygen Source,7277f1f8-5523-4b5a-8830-6459b9ba0864
Neonatal Care Form,Nurse followup Sheet :: Oxygen Source,Nurse followup Sheet,Oxygen Source,CPAP,CPAP,,,,Oxygen Source,7277f1f8-5523-4b5a-8830-6459b9ba0864
Neonatal Care Form,Nurse followup Sheet :: Oxygen Source,Nurse followup Sheet,Oxygen Source,MV,MV,,,,Oxygen Source,7277f1f8-5523-4b5a-8830-6459b9ba0864
Neonatal Care Form,Nurse followup Sheet :: Phototherapy n,Nurse followup Sheet,Phototherapy n,True,Yes,,,,Phototherapy?,081e25a4-32ca-40c1-850c-9e9581baba3a
Neonatal Care Form,Nurse followup Sheet :: Phototherapy n,Nurse followup Sheet,Phototherapy n,False,No,,,,Phototherapy?,081e25a4-32ca-40c1-850c-9e9581baba3a
Neonatal Care Form,Nurse followup Sheet :: weight (Change),Nurse followup Sheet,weight (Change),True,Yes,,,,weight (Change),88fea155-7b9e-4505-b4f8-b0b8686b1549
Neonatal Care Form,Nurse followup Sheet :: weight (Change),Nurse followup Sheet,weight (Change),False,No,,,,weight (Change),88fea155-7b9e-4505-b4f8-b0b8686b1549
Neonatal Care Form,Progress care form for Referral Hospitals :: Convulsion Apnea,Progress care form for Referral Hospitals,Convulsion Apnea,True,Yes,,,,Convulsion Apnea,3c69cd88-9ecb-4f54-a25f-a58345782ffd
Neonatal Care Form,Progress care form for Referral Hospitals :: Convulsion Apnea,Progress care form for Referral Hospitals,Convulsion Apnea,False,No,,,,Convulsion Apnea,3c69cd88-9ecb-4f54-a25f-a58345782ffd
Neonatal Care Form,"Progress care form for Referral Hospitals :: CPAP, LFNC, IPPV, HFOV",Progress care form for Referral Hospitals,"CPAP, LFNC, IPPV, HFOV",True,Yes,,,,"CPAP, LFNC, IPPV, HFOV",87a5bd88-9fbb-4123-a314-4f90d8f3f765
Neonatal Care Form,"Progress care form for Referral Hospitals :: CPAP, LFNC, IPPV, HFOV",Progress care form for Referral Hospitals,"CPAP, LFNC, IPPV, HFOV",False,No,,,,"CPAP, LFNC, IPPV, HFOV",87a5bd88-9fbb-4123-a314-4f90d8f3f765
Neonatal Care Form,Progress care form for Referral Hospitals :: CUS(Cranial U/S),Progress care form for Referral Hospitals,CUS(Cranial U/S),True,Yes,,,,CUS(Cranial U/S),a7d0e233-67f0-43d1-8fc7-186f218049df
Neonatal Care Form,Progress care form for Referral Hospitals :: CUS(Cranial U/S),Progress care form for Referral Hospitals,CUS(Cranial U/S),False,No,,,,CUS(Cranial U/S),a7d0e233-67f0-43d1-8fc7-186f218049df
Neonatal Care Form,Progress care form for Referral Hospitals :: Iron supplement,Progress care form for Referral Hospitals,Iron supplement,True,Yes,,,,Iron supplement,7a885fe8-173b-46a5-8b43-264c7fbb22e1
Neonatal Care Form,Progress care form for Referral Hospitals :: Iron supplement,Progress care form for Referral Hospitals,Iron supplement,False,No,,,,Iron supplement,7a885fe8-173b-46a5-8b43-264c7fbb22e1
Neonatal Care Form,Progress care form for Referral Hospitals :: NPO/Open drainage,Progress care form for Referral Hospitals,NPO/Open drainage,True,Yes,,,,NPO/Open drainage,36352011-89a1-4409-9767-fdefc519c983
Neonatal Care Form,Progress care form for Referral Hospitals :: NPO/Open drainage,Progress care form for Referral Hospitals,NPO/Open drainage,False,No,,,,NPO/Open drainage,36352011-89a1-4409-9767-fdefc519c983
