program,target_header,stage_name,data_element_name,source_value,dhis2_value,transform,notes,org_unit,source_concept_name,source_concept_uuid
Neonatal Care Form,Discharge care form :: Newborn status at discharge n,Discharge care form,Newborn status at discharge n,Dead,Dead,,,TUL,Newborn status at discharge n,46fe91b2-725b-4164-9f22-ee2254ee7e4d
Neonatal Care Form,Discharge care form :: Newborn status at discharge n,Discharge care form,Newborn status at discharge n,Alive,Alive,,,TUL,Newborn status at discharge n,46fe91b2-725b-4164-9f22-ee2254ee7e4d
Neonatal Care Form,Discharge care form :: Sub-Categories of Congenital Malformations n,Discharge care form,Sub-Categories of Congenital Malformations n,Congenital Heart Defects,Congenital Heart Defects,,,TUL,Sub-Categories of Congenital Malformations n,1203b5e9-96dd-41f8-929f-ea578ffcc896
Neonatal Care Form,Discharge care form :: Sub-Categories of Congenital Malformations n,Discharge care form,Sub-Categories of Congenital Malformations n,Chromosomal Disorders,Chromosomal Disorders,,,TUL,Sub-Categories of Congenital Malformations n,1203b5e9-96dd-41f8-929f-ea578ffcc896
Neonatal Care Form,Discharge care form :: Sub-Categories of Congenital Malformations n,Discharge care form,Sub-Categories of Congenital Malformations n,Abdominal Defects,Abdominal Defects,,,TUL,Sub-Categories of Congenital Malformations n,1203b5e9-96dd-41f8-929f-ea578ffcc896
Neonatal Care Form,Discharge care form :: Sub-Categories of Congenital Malformations n,Discharge care form,Sub-Categories of Congenital Malformations n,Neural Tube Defects,Neural Tube Defects,,,TUL,Sub-Categories of Congenital Malformations n,1203b5e9-96dd-41f8-929f-ea578ffcc896
Neonatal Care Form,Discharge care form :: Sub-Categories of Congenital Malformations n,Discharge care form,Sub-Categories of Congenital Malformations n,Orofacial Cleft,Orofacial Cleft,,,TUL,Sub-Categories of Congenital Malformations n,1203b5e9-96dd-41f8-929f-ea578ffcc896
Neonatal Care Form,Discharge care form :: Sub-Categories of Congenital Malformations n,Discharge care form,Sub-Categories of Congenital Malformations n,Talipes/Club Foot,Talipes/Club Foot,,,TUL,Sub-Categories of Congenital Malformations n,1203b5e9-96dd-41f8-929f-ea578ffcc896
Neonatal Care Form,Discharge care form :: Sub-Categories of Congenital Malformations n,Discharge care form,Sub-Categories of Congenital Malformations n,Other Congential,Other Congential,,,TUL,Sub-Categories of Congenital Malformations n,1203b5e9-96dd-41f8-929f-ea578ffcc896
Neonatal Care Form,Discharge care form :: Sub-Categories of Congenital Malformations n,Discharge care form,Sub-Categories of Congenital Malformations n,Congenital Cause But Not Able to Specify,Congenital Cause But Not Able to Specify,,,TUL,Sub-Categories of Congenital Malformations n,1203b5e9-96dd-41f8-929f-ea578ffcc896
Neonatal Care Form,Discharge care form :: Sub-Categories of Infection n,Discharge care form,Sub-Categories of Infection n,Probable Sepsis,Probable Sepsis,,,TUL,Sub-Categories of Infection n,d0a1e3cf-335a-4f1b-ab4e-3a3d014998a3
Neonatal Care Form,Discharge care form :: Sub-Categories of Infection n,Discharge care form,Sub-Categories of Infection n,Culture-Positive Sepsis,Culture-Positive Sepsis,,,TUL,Sub-Categories of Infection n,d0a1e3cf-335a-4f1b-ab4e-3a3d014998a3
Neonatal Care Form,Discharge care form :: Sub-Categories of Infection n,Discharge care form,Sub-Categories of Infection n,Probable Meningitis,Probable Meningitis,,,TUL,Sub-Categories of Infection n,d0a1e3cf-335a-4f1b-ab4e-3a3d014998a3
Neonatal Care Form,Discharge care form :: Sub-Categories of Infection n,Discharge care form,Sub-Categories of Infection n,Culture-Positive Meningitis,Culture-Positive Meningitis,,,TUL,Sub-Categories of Infection n,d0a1e3cf-335a-4f1b-ab4e-3a3d014998a3
Neonatal Care Form,Discharge care form :: Sub-Categories of Infection n,Discharge care form,Sub-Categories of Infection n,Pneumonia.,Pneumonia,,,TUL,Sub-Categories of Infection n,d0a1e3cf-335a-4f1b-ab4e-3a3d014998a3
Neonatal Care Form,Discharge care form :: Sub-Categories of Infection n,Discharge care form,Sub-Categories of Infection n,Tetanus.,Tetanus,,,TUL,Sub-Categories of Infection n,d0a1e3cf-335a-4f1b-ab4e-3a3d014998a3
Neonatal Care Form,Discharge care form :: Sub-Categories of Infection n,Discharge care form,Sub-Categories of Infection n,SARS-CoV-2 (COVID-19),SARS-CoV-2 (COVID-19),,,TUL,Sub-Categories of Infection n,d0a1e3cf-335a-4f1b-ab4e-3a3d014998a3
Neonatal Care Form,Discharge care form :: Sub-Categories of Infection n,Discharge care form,Sub-Categories of Infection n,Other Infection,Other Infection,,,TUL,Sub-Categories of Infection n,d0a1e3cf-335a-4f1b-ab4e-3a3d014998a3
Neonatal Care Form,Discharge care form :: Sub-Categories of Infection n,Discharge care form,Sub-Categories of Infection n,Infection Cause But Not Able to Specify,Infection Cause But Not Able to Specify,,,TUL,Sub-Categories of Infection n,d0a1e3cf-335a-4f1b-ab4e-3a3d014998a3
Neonatal Care Form,Discharge care form :: Sub-Categories of Intrapartum-Related n,Discharge care form,Sub-Categories of Intrapartum-Related n,Neonatal Hypoxic Ischemic Encephalopathy,Neonatal Hypoxic Ischemic Encephalopathy,,,TUL,Sub-Categories of Intrapartum-Related n,1a8f3098-e018-45f1-899c-6b207441c197
Neonatal Care Form,Discharge care form :: Sub-Categories of Intrapartum-Related n,Discharge care form,Sub-Categories of Intrapartum-Related n,Meconium Aspiration,Meconium Aspiration,,,TUL,Sub-Categories of Intrapartum-Related n,1a8f3098-e018-45f1-899c-6b207441c197
Neonatal Care Form,Discharge care form :: Sub-Categories of Intrapartum-Related n,Discharge care form,Sub-Categories of Intrapartum-Related n,Birth Injury (Intrapartum-related),Birth Injury (Intrapartum-related),,,TUL,Sub-Categories of Intrapartum-Related n,1a8f3098-e018-45f1-899c-6b207441c197
Neonatal Care Form,Discharge care form :: Sub-Categories of Intrapartum-Related n,Discharge care form,Sub-Categories of Intrapartum-Related n,Other Intrapartum-Related,Other Intrapartum-Related,,,TUL,Sub-Categories of Intrapartum-Related n,1a8f3098-e018-45f1-899c-6b207441c197
Neonatal Care Form,Discharge care form :: Sub-Categories of Intrapartum-Related n,Discharge care form,Sub-Categories of Intrapartum-Related n,Intrapartum-Related Cause But Not Able to Specify,Intrapartum-Related Cause But Not Able to Specify,,,TUL,Sub-Categories of Intrapartum-Related n,1a8f3098-e018-45f1-899c-6b207441c197
Neonatal Care Form,Discharge care form :: Sub-Categories of Jaundice (Pathological) n,Discharge care form,Sub-Categories of Jaundice (Pathological) n,Requiring Phototherapy,Requiring Phototherapy,,,TUL,Sub-Categories of Jaundice (Pathological) n,92943c92-3dfa-451c-8bff-2c137e7c0fac
Neonatal Care Form,Discharge care form :: Sub-Categories of Jaundice (Pathological) n,Discharge care form,Sub-Categories of Jaundice (Pathological) n,Requiring Exchange Transfusion,Requiring Exchange Transfusion,,,TUL,Sub-Categories of Jaundice (Pathological) n,92943c92-3dfa-451c-8bff-2c137e7c0fac
Neonatal Care Form,Discharge care form :: Sub-Categories of Prematurity n,Discharge care form,Sub-Categories of Prematurity n,Respiratory Distress Syndrome (of Prematurity),Respiratory Distress Syndrome (of Prematurity),,,TUL,Sub-Categories of Prematurity n,74a4e2b1-b643-4bde-a294-cd192e8c6512
Neonatal Care Form,Discharge care form :: Sub-Categories of Prematurity n,Discharge care form,Sub-Categories of Prematurity n,Intraventricular Haemorrhage,Intraventricular Haemorrhage,,,TUL,Sub-Categories of Prematurity n,74a4e2b1-b643-4bde-a294-cd192e8c6512
Neonatal Care Form,Discharge care form :: Sub-Categories of Prematurity n,Discharge care form,Sub-Categories of Prematurity n,Necrotizing Enterocolitis,Necrotizing Enterocolitis,,,TUL,Sub-Categories of Prematurity n,74a4e2b1-b643-4bde-a294-cd192e8c6512
Neonatal Care Form,Discharge care form :: Sub-Categories of Prematurity n,Discharge care form,Sub-Categories of Prematurity n,Other Prematurity,Other Prematurity,,,TUL,Sub-Categories of Prematurity n,74a4e2b1-b643-4bde-a294-cd192e8c6512
Neonatal Care Form,Discharge care form :: Sub-Categories of Prematurity n,Discharge care form,Sub-Categories of Prematurity n,Prematurity Cause But Not Able to Specify,Prematurity Cause But Not Able to Specify,,,TUL,Sub-Categories of Prematurity n,74a4e2b1-b643-4bde-a294-cd192e8c6512
Neonatal Care Form,KMC ward follow up sheet :: Danger sign present,KMC ward follow up sheet,Danger sign present,Fast breathing (≥60 breath per minute),Fast breathing (≥60 breath per minute),,,TUL,Danger sign present,33179cc3-324a-48e0-8f2c-5e640779ad64
Neonatal Care Form,KMC ward follow up sheet :: Danger sign present,KMC ward follow up sheet,Danger sign present,Slow breathing (≤ 30 breath per minute),Slow breathing (≤ 30 breath per minute),,,TUL,Danger sign present,33179cc3-324a-48e0-8f2c-5e640779ad64
Neonatal Care Form,KMC ward follow up sheet :: Danger sign present,KMC ward follow up sheet,Danger sign present,Severe chest indrawing,Severe chest indrawing,,,TUL,Danger sign present,33179cc3-324a-48e0-8f2c-5e640779ad64
Neonatal Care Form,KMC ward follow up sheet :: Danger sign present,KMC ward follow up sheet,Danger sign present,Symptom Grunting,Grunting,,,TUL,Danger sign present,33179cc3-324a-48e0-8f2c-5e640779ad64
Neonatal Care Form,KMC ward follow up sheet :: Danger sign present,KMC ward follow up sheet,Danger sign present,Others,Other,,,TUL,Danger sign present,33179cc3-324a-48e0-8f2c-5e640779ad64
Neonatal Care Form,KMC ward follow up sheet :: DLT or NLT kmc followup,KMC ward follow up sheet,DLT or NLT kmc followup,DLT,DLT,,,TUL,DLT or NLT kmc followup,76c00914-0215-475a-af0c-f582a8097e9d
Neonatal Care Form,KMC ward follow up sheet :: DLT or NLT kmc followup,KMC ward follow up sheet,DLT or NLT kmc followup,NLT,NLT,,,TUL,DLT or NLT kmc followup,76c00914-0215-475a-af0c-f582a8097e9d
Neonatal Care Form,KMC ward follow up sheet :: Floppy or stiff,KMC ward follow up sheet,Floppy or stiff,Floppy,Floppy,,,TUL,Floppy or stiff,af1077ad-ecf4-4ca8-a719-0b27cd00727b
Neonatal Care Form,KMC ward follow up sheet :: Floppy or stiff,KMC ward follow up sheet,Floppy or stiff,Stiff,Stiff,,,TUL,Floppy or stiff,af1077ad-ecf4-4ca8-a719-0b27cd00727b
Neonatal Care Form,KMC ward follow up sheet :: Mode of feeding kmc,KMC ward follow up sheet,Mode of feeding kmc,NG TUBE.,NG tube,,,TUL,Mode of feeding kmc,d768cca5-4544-4667-a98c-2fcd5b1a6bc8
Neonatal Care Form,KMC ward follow up sheet :: Mode of feeding kmc,KMC ward follow up sheet,Mode of feeding kmc,Cup,Cup,,,TUL,Mode of feeding kmc,d768cca5-4544-4667-a98c-2fcd5b1a6bc8
Neonatal Care Form,KMC ward follow up sheet :: Mode of feeding kmc,KMC ward follow up sheet,Mode of feeding kmc,Direct BF,Direct BF,,,TUL,Mode of feeding kmc,d768cca5-4544-4667-a98c-2fcd5b1a6bc8
Neonatal Care Form,KMC ward follow up sheet :: Supplement kmc f,KMC ward follow up sheet,Supplement kmc f,Vit D,Vit D,,,TUL,Supplement?,913d5cf4-70da-4f92-8890-08d9fbbf063b
Neonatal Care Form,KMC ward follow up sheet :: Supplement kmc f,KMC ward follow up sheet,Supplement kmc f,Iron,Iron,,,TUL,Supplement?,913d5cf4-70da-4f92-8890-08d9fbbf063b
Neonatal Care Form,KMC ward follow up sheet :: Type of feed,KMC ward follow up sheet,Type of feed,Breast milk,EBM,,,TUL,Type of feed,aa0e6b79-1839-49ff-8a77-aa5b4f3b2b57
Neonatal Care Form,KMC ward follow up sheet :: Type of feed,KMC ward follow up sheet,Type of feed,EBM+ Fortification,EBM+ Fortification,,,TUL,Type of feed,aa0e6b79-1839-49ff-8a77-aa5b4f3b2b57
Neonatal Care Form,KMC ward follow up sheet :: Type of feed,KMC ward follow up sheet,Type of feed,Formula,Formula,,,TUL,Type of feed,aa0e6b79-1839-49ff-8a77-aa5b4f3b2b57
Neonatal Care Form,KMC ward follow up sheet :: Type of feed,KMC ward follow up sheet,Type of feed,Mixed,Mixed,,,TUL,Type of feed,aa0e6b79-1839-49ff-8a77-aa5b4f3b2b57
Neonatal Care Form,KMC ward follow up sheet :: Urine,KMC ward follow up sheet,Urine,pass,Pass,,,TUL,Urine exam,53a773af-6e78-4a2f-a0af-d45e556aa895
Neonatal Care Form,KMC ward follow up sheet :: Urine,KMC ward follow up sheet,Urine,not pass,Not pass,,,TUL,Urine exam,53a773af-6e78-4a2f-a0af-d45e556aa895
Neonatal Care Form,Medication sheet :: Frequency n,Medication sheet,Frequency n,BID,BID,,,TUL,Ordered medication frequency,a9873051-fcbd-4ca7-9302-5ea0c977a596
Neonatal Care Form,Medication sheet :: Frequency n,Medication sheet,Frequency n,TID,TID,,,TUL,Ordered medication frequency,a9873051-fcbd-4ca7-9302-5ea0c977a596
Neonatal Care Form,Medication sheet :: Frequency n,Medication sheet,Frequency n,QID,QID,,,TUL,Ordered medication frequency,a9873051-fcbd-4ca7-9302-5ea0c977a596
Neonatal Care Form,Medication sheet :: Frequency n,Medication sheet,Frequency n,Every 4 hours,Every 4 hours,,,TUL,Ordered medication frequency,a9873051-fcbd-4ca7-9302-5ea0c977a596
Neonatal Care Form,Medication sheet :: Frequency n,Medication sheet,Frequency n,Every other day,Daily,,,TUL,Ordered medication frequency,a9873051-fcbd-4ca7-9302-5ea0c977a596
Neonatal Care Form,Medication sheet :: Medication route n,Medication sheet,Medication route n,Intravenous,IV,,,TUL,Medication Adminstration route,361371de-92c0-4b6a-9545-76053d35f411
Neonatal Care Form,Medication sheet :: Medication route n,Medication sheet,Medication route n,per os,PO,,,TUL,Medication Adminstration route,361371de-92c0-4b6a-9545-76053d35f411
Neonatal Care Form,Medication sheet :: Medication route n,Medication sheet,Medication route n,Intramuscular,IM,,,TUL,Medication Adminstration route,361371de-92c0-4b6a-9545-76053d35f411
Neonatal Care Form,Neonatal referral form :: COOMB’S test ref,Neonatal referral form,COOMB’S test ref,Negative,Negative,,,TUL,COOMB'S test,4607fbd2-4e40-4e12-910f-958a9a2780ec
Neonatal Care Form,Neonatal referral form :: COOMB’S test ref,Neonatal referral form,COOMB’S test ref,Positive,Positive,,,TUL,COOMB'S test,4607fbd2-4e40-4e12-910f-958a9a2780ec
Neonatal Care Form,Neonatal referral form :: Delivery n,Neonatal referral form,Delivery n,Vaccum Delivery,Vacuum,,,TUL,"PMTCT, Delivery",2e41171c-5cd5-4b70-ad40-b1dfa1f4bb6f
Neonatal Care Form,Neonatal referral form :: Delivery n,Neonatal referral form,Delivery n,Forceps Delivery,Forceps,,,TUL,"PMTCT, Delivery",2e41171c-5cd5-4b70-ad40-b1dfa1f4bb6f
Neonatal Care Form,Neonatal referral form :: Delivery n,Neonatal referral form,Delivery n,Cesarean Section Delivery,Caesarean section,,,TUL,"PMTCT, Delivery",2e41171c-5cd5-4b70-ad40-b1dfa1f4bb6f
Neonatal Care Form,Neonatal referral form :: Delivery n,Neonatal referral form,Delivery n,Normal delivery,SVD,,,TUL,"PMTCT, Delivery",2e41171c-5cd5-4b70-ad40-b1dfa1f4bb6f
Neonatal Care Form,Neonatal referral form :: If done tick what was done,Neonatal referral form,If done tick what was done,supplemental oxygen,Supplemental oxygen,,,TUL,if done tick what was done,688ca16c-2f58-41fd-8426-7c69940e45b2
Neonatal Care Form,Neonatal referral form :: If done tick what was done,Neonatal referral form,If done tick what was done,bag mask ventilation,Bag mask ventilation,,,TUL,if done tick what was done,688ca16c-2f58-41fd-8426-7c69940e45b2
Neonatal Care Form,Neonatal referral form :: If done tick what was done,Neonatal referral form,If done tick what was done,chest compression,Chest compression,,,TUL,if done tick what was done,688ca16c-2f58-41fd-8426-7c69940e45b2
Neonatal Care Form,Neonatal referral form :: If done tick what was done,Neonatal referral form,If done tick what was done,intubation,Intubation,,,TUL,if done tick what was done,688ca16c-2f58-41fd-8426-7c69940e45b2
Neonatal Care Form,Neonatal referral form :: Intra/Inter facility transfer,Neonatal referral form,Intra/Inter facility transfer,Inter facility transfer,Inter facility transfer,,,TUL,Intra/Inter facility transfer,a9d86186-82f2-4f0f-af15-a5c31f292b58
Neonatal Care Form,Neonatal referral form :: Intra/Inter facility transfer,Neonatal referral form,Intra/Inter facility transfer,Intra facility transfer,Intra facility transfer,,,TUL,Intra/Inter facility transfer,a9d86186-82f2-4f0f-af15-a5c31f292b58
Neonatal Care Form,Neonatal referral form :: Mother PICT ref,Neonatal referral form,Mother PICT ref,Negative,Negative,,,TUL,mother PICT,d3570c18-9f1e-4f56-8806-778a39d22017
Neonatal Care Form,Neonatal referral form :: Mother PICT ref,Neonatal referral form,Mother PICT ref,Positive,Positive,,,TUL,mother PICT,d3570c18-9f1e-4f56-8806-778a39d22017
Neonatal Care Form,Neonatal referral form :: Singleton-Multiple,Neonatal referral form,Singleton-Multiple,"SingletonWed, 13 Mar 2024 19:33:01 GMT",Singleton,,,TUL,"Birth Notification, Type of birth",9025f363-29d8-4c24-b0b4-c2c617e5504e
Neonatal Care Form,Neonatal referral form :: Singleton-Multiple,Neonatal referral form,Singleton-Multiple,Twin,Twin,,,TUL,"Birth Notification, Type of birth",9025f363-29d8-4c24-b0b4-c2c617e5504e
Neonatal Care Form,Neonatal referral form :: Singleton-Multiple,Neonatal referral form,Singleton-Multiple,Triplet,Triplet,,,TUL,"Birth Notification, Type of birth",9025f363-29d8-4c24-b0b4-c2c617e5504e
Neonatal Care Form,NICU Admission Careform :: Admission age unit n,NICU Admission Careform,Admission age unit n,Minutes,Minutes,,,TUL,Admission age unit,e03dcbac-b50c-48fc-a500-ad7b236e3f77
Neonatal Care Form,NICU Admission Careform :: Admission age unit n,NICU Admission Careform,Admission age unit n,"ED Triage, Hours",Hours,,,TUL,Admission age unit,e03dcbac-b50c-48fc-a500-ad7b236e3f77
Neonatal Care Form,NICU Admission Careform :: Admission age unit n,NICU Admission Careform,Admission age unit n,Days,Days,,,TUL,Admission age unit,e03dcbac-b50c-48fc-a500-ad7b236e3f77
Neonatal Care Form,NICU Admission Careform :: Amniotic fluid was,NICU Admission Careform,Amniotic fluid was,Unknown,Unknown,,,TUL,Amniotic fluid was,92a95114-17e5-458e-a1c2-76324bd2b6bc
Neonatal Care Form,NICU Admission Careform :: Amniotic fluid was,NICU Admission Careform,Amniotic fluid was,Clear,Clear,,,TUL,Amniotic fluid was,92a95114-17e5-458e-a1c2-76324bd2b6bc
Neonatal Care Form,NICU Admission Careform :: Amniotic fluid was,NICU Admission Careform,Amniotic fluid was,Meconium-stained,Meconium stained,,,TUL,Amniotic fluid was,92a95114-17e5-458e-a1c2-76324bd2b6bc
Neonatal Care Form,NICU Admission Careform :: Amniotic fluid was,NICU Admission Careform,Amniotic fluid was,Foul smelling discharge,Foul smelling discharge,,,TUL,Amniotic fluid was,92a95114-17e5-458e-a1c2-76324bd2b6bc
Neonatal Care Form,NICU Admission Careform :: Any abnormality from System Examination,NICU Admission Careform,Any abnormality from System Examination,HEENT.,HEENT,,,TUL,Any abnormality from System Examination?,8687686b-272c-4ae7-929b-5ec523bd79e6
Neonatal Care Form,NICU Admission Careform :: Any abnormality from System Examination,NICU Admission Careform,Any abnormality from System Examination,NECK.,NECK,,,TUL,Any abnormality from System Examination?,8687686b-272c-4ae7-929b-5ec523bd79e6
Neonatal Care Form,NICU Admission Careform :: Any abnormality from System Examination,NICU Admission Careform,Any abnormality from System Examination,"ayhfp, LGS",LGS,,,TUL,Any abnormality from System Examination?,8687686b-272c-4ae7-929b-5ec523bd79e6
