program,target_header,stage_name,data_element_name,source_value,dhis2_value,transform,notes,org_unit,source_concept_name,source_concept_uuid
Maternal Inpatient Data,Delivery Monitoring partograph :: Cervix cm DMP,Delivery Monitoring partograph,Cervix cm DMP,4,4,,,,Cervix cm DMP,8459e651-7622-4b6d-8a33-0f3f5a68cb17
Maternal Inpatient Data,Delivery Monitoring partograph :: Cervix hours DMP,Delivery Monitoring partograph,Cervix hours DMP,0,0,,,,Cervix hours DMP,74b55861-5654-433c-ac7a-2a241c2dc0ac
Maternal Inpatient Data,Delivery Monitoring partograph :: Cervix hours DMP,Delivery Monitoring partograph,Cervix hours DMP,1,1,,,,Cervix hours DMP,74b55861-5654-433c-ac7a-2a241c2dc0ac
Maternal Inpatient Data,Delivery Monitoring partograph :: Cervix hours DMP,Delivery Monitoring partograph,Cervix hours DMP,2,2,,,,Cervix hours DMP,74b55861-5654-433c-ac7a-2a241c2dc0ac
Maternal Inpatient Data,Delivery Monitoring partograph :: Cervix hours DMP,Delivery Monitoring partograph,Cervix hours DMP,3,3,,,,Cervix hours DMP,74b55861-5654-433c-ac7a-2a241c2dc0ac
Maternal Inpatient Data,Delivery Monitoring partograph :: Cervix hours DMP,Delivery Monitoring partograph,Cervix hours DMP,4,4,,,,Cervix hours DMP,74b55861-5654-433c-ac7a-2a241c2dc0ac
Maternal Inpatient Data,Delivery Monitoring partograph :: Cervix hours DMP,Delivery Monitoring partograph,Cervix hours DMP,5,5,,,,Cervix hours DMP,74b55861-5654-433c-ac7a-2a241c2dc0ac
Maternal Inpatient Data,Delivery Monitoring partograph :: Cervix hours DMP,Delivery Monitoring partograph,Cervix hours DMP,6,6,,,,Cervix hours DMP,74b55861-5654-433c-ac7a-2a241c2dc0ac
Maternal Inpatient Data,Delivery Monitoring partograph :: Cervix hours DMP,Delivery Monitoring partograph,Cervix hours DMP,7,7,,,,Cervix hours DMP,74b55861-5654-433c-ac7a-2a241c2dc0ac
Maternal Inpatient Data,Delivery Monitoring partograph :: Cervix hours DMP,Delivery Monitoring partograph,Cervix hours DMP,8,8,,,,Cervix hours DMP,74b55861-5654-433c-ac7a-2a241c2dc0ac
Maternal Inpatient Data,Delivery Monitoring partograph :: Cervix hours DMP,Delivery Monitoring partograph,Cervix hours DMP,9,9,,,,Cervix hours DMP,74b55861-5654-433c-ac7a-2a241c2dc0ac
Maternal Inpatient Data,Delivery Monitoring partograph :: Cervix hours DMP,Delivery Monitoring partograph,Cervix hours DMP,10,10,,,,Cervix hours DMP,74b55861-5654-433c-ac7a-2a241c2dc0ac
Maternal Inpatient Data,Delivery Monitoring partograph :: Cervix hours DMP,Delivery Monitoring partograph,Cervix hours DMP,11,11,,,,Cervix hours DMP,74b55861-5654-433c-ac7a-2a241c2dc0ac
Maternal Inpatient Data,Delivery Monitoring partograph :: Cervix hours DMP,Delivery Monitoring partograph,Cervix hours DMP,12,12,,,,Cervix hours DMP,74b55861-5654-433c-ac7a-2a241c2dc0ac
Maternal Inpatient Data,Delivery Monitoring partograph :: Contraction DMP,Delivery Monitoring partograph,Contraction DMP,5,5,,,,Contraction DMP,bb65a0f9-906d-46b9-8362-243b8c794abb
Maternal Inpatient Data,Delivery Monitoring partograph :: Contraction DMP,Delivery Monitoring partograph,Contraction DMP,4,4,,,,Contraction DMP,bb65a0f9-906d-46b9-8362-243b8c794abb
Maternal Inpatient Data,Delivery Monitoring partograph :: Contraction DMP,Delivery Monitoring partograph,Contraction DMP,3,3,,,,Contraction DMP,bb65a0f9-906d-46b9-8362-243b8c794abb
Maternal Inpatient Data,Delivery Monitoring partograph :: Contraction DMP,Delivery Monitoring partograph,Contraction DMP,2,2,,,,Contraction DMP,bb65a0f9-906d-46b9-8362-243b8c794abb
Maternal Inpatient Data,Delivery Monitoring partograph :: Contraction DMP,Delivery Monitoring partograph,Contraction DMP,1,1,,,,Contraction DMP,bb65a0f9-906d-46b9-8362-243b8c794abb
Maternal Inpatient Data,Delivery Monitoring partograph :: Fetal Heart Rate DMP,Delivery Monitoring partograph,Fetal Heart Rate DMP,200,200,,,,Fetal Heart Rate DMP,ad1e8c12-74d9-4a59-a905-26e212ba3768
Maternal Inpatient Data,Delivery Monitoring partograph :: Fetal Heart Rate DMP,Delivery Monitoring partograph,Fetal Heart Rate DMP,190,190,,,,Fetal Heart Rate DMP,ad1e8c12-74d9-4a59-a905-26e212ba3768
Maternal Inpatient Data,Delivery Monitoring partograph :: Fetal Heart Rate DMP,Delivery Monitoring partograph,Fetal Heart Rate DMP,180,180,,,,Fetal Heart Rate DMP,ad1e8c12-74d9-4a59-a905-26e212ba3768
Maternal Inpatient Data,Delivery Monitoring partograph :: Fetal Heart Rate DMP,Delivery Monitoring partograph,Fetal Heart Rate DMP,170,170,,,,Fetal Heart Rate DMP,ad1e8c12-74d9-4a59-a905-26e212ba3768
Maternal Inpatient Data,Delivery Monitoring partograph :: Fetal Heart Rate DMP,Delivery Monitoring partograph,Fetal Heart Rate DMP,160,160,,,,Fetal Heart Rate DMP,ad1e8c12-74d9-4a59-a905-26e212ba3768
Maternal Inpatient Data,Delivery Monitoring partograph :: Fetal Heart Rate DMP,Delivery Monitoring partograph,Fetal Heart Rate DMP,150,150,,,,Fetal Heart Rate DMP,ad1e8c12-74d9-4a59-a905-26e212ba3768
Maternal Inpatient Data,Delivery Monitoring partograph :: Fetal Heart Rate DMP,Delivery Monitoring partograph,Fetal Heart Rate DMP,140,140,,,,Fetal Heart Rate DMP,ad1e8c12-74d9-4a59-a905-26e212ba3768
Maternal Inpatient Data,Delivery Monitoring partograph :: Fetal Heart Rate DMP,Delivery Monitoring partograph,Fetal Heart Rate DMP,130,130,,,,Fetal Heart Rate DMP,ad1e8c12-74d9-4a59-a905-26e212ba3768
Maternal Inpatient Data,Delivery Monitoring partograph :: Fetal Heart Rate DMP,Delivery Monitoring partograph,Fetal Heart Rate DMP,120,120,,,,Fetal Heart Rate DMP,ad1e8c12-74d9-4a59-a905-26e212ba3768
Maternal Inpatient Data,Delivery Monitoring partograph :: Fetal Heart Rate DMP,Delivery Monitoring partograph,Fetal Heart Rate DMP,110,110,,,,Fetal Heart Rate DMP,ad1e8c12-74d9-4a59-a905-26e212ba3768
Maternal Inpatient Data,Delivery Monitoring partograph :: Fetal Heart Rate DMP,Delivery Monitoring partograph,Fetal Heart Rate DMP,100,100,,,,Fetal Heart Rate DMP,ad1e8c12-74d9-4a59-a905-26e212ba3768
Maternal Inpatient Data,Delivery Monitoring partograph :: Fetal Heart Rate DMP,Delivery Monitoring partograph,Fetal Heart Rate DMP,90,90,,,,Fetal Heart Rate DMP,ad1e8c12-74d9-4a59-a905-26e212ba3768
Maternal Inpatient Data,Delivery Monitoring partograph :: Fetal Heart Rate DMP,Delivery Monitoring partograph,Fetal Heart Rate DMP,80,80,,,,Fetal Heart Rate DMP,ad1e8c12-74d9-4a59-a905-26e212ba3768
Maternal Inpatient Data,Delivery Monitoring partograph :: Moulding DMP,Delivery Monitoring partograph,Moulding DMP,0,0,,,,Moulding DMP,510b648e-5db4-4313-bc04-1b3200e0c17d
Maternal Inpatient Data,Delivery Monitoring partograph :: Moulding DMP,Delivery Monitoring partograph,Moulding DMP,+1,+1,,,,Moulding DMP,510b648e-5db4-4313-bc04-1b3200e0c17d
Maternal Inpatient Data,Delivery Monitoring partograph :: Moulding DMP,Delivery Monitoring partograph,Moulding DMP,+2,+2,,,,Moulding DMP,510b648e-5db4-4313-bc04-1b3200e0c17d
Maternal Inpatient Data,Delivery Monitoring partograph :: Moulding DMP,Delivery Monitoring partograph,Moulding DMP,+3,+3,,,,Moulding DMP,510b648e-5db4-4313-bc04-1b3200e0c17d
Maternal Inpatient Data,Delivery Monitoring partograph :: Protein in Urine DMP,Delivery Monitoring partograph,Protein in Urine DMP,Negative,Negative,,,,Protein in Urine DMP,3f4ac567-af1e-4b88-8f70-4d120dd92b8d
Maternal Inpatient Data,Delivery Monitoring partograph :: Protein in Urine DMP,Delivery Monitoring partograph,Protein in Urine DMP,Trace,Trace,,,,Protein in Urine DMP,3f4ac567-af1e-4b88-8f70-4d120dd92b8d
Maternal Inpatient Data,Delivery Monitoring partograph :: Protein in Urine DMP,Delivery Monitoring partograph,Protein in Urine DMP,1+,1+,,,,Protein in Urine DMP,3f4ac567-af1e-4b88-8f70-4d120dd92b8d
Maternal Inpatient Data,Delivery Monitoring partograph :: Protein in Urine DMP,Delivery Monitoring partograph,Protein in Urine DMP,2+,2+,,,,Protein in Urine DMP,3f4ac567-af1e-4b88-8f70-4d120dd92b8d
Maternal Inpatient Data,Delivery Monitoring partograph :: Protein in Urine DMP,Delivery Monitoring partograph,Protein in Urine DMP,3+,3+,,,,Protein in Urine DMP,3f4ac567-af1e-4b88-8f70-4d120dd92b8d
Maternal Inpatient Data,Delivery Monitoring partograph :: Protein in Urine DMP,Delivery Monitoring partograph,Protein in Urine DMP,4+,4+,,,,Protein in Urine DMP,3f4ac567-af1e-4b88-8f70-4d120dd92b8d
Maternal Inpatient Data,Delivery Monitoring partograph :: Ruptured Membranes DMP,Delivery Monitoring partograph,Ruptured Membranes DMP,True,Yes,,,,Ruptured Membranes DMP,f580e59a-740d-4478-b223-c9c12d001670
Maternal Inpatient Data,Delivery Monitoring partograph :: Ruptured Membranes DMP,Delivery Monitoring partograph,Ruptured Membranes DMP,False,No,,,,Ruptured Membranes DMP,f580e59a-740d-4478-b223-c9c12d001670
Maternal Inpatient Data,Delivery summary :: birth outcome,Delivery summary,birth outcome,Stillbirth,Stillbirth,,,,birth outcome,c70792f1-51fa-43d9-9996-953619cef89a
Maternal Inpatient Data,Delivery summary :: birth outcome,Delivery summary,birth outcome,HEIF Alive,Alive,,,,birth outcome,c70792f1-51fa-43d9-9996-953619cef89a
Maternal Inpatient Data,Delivery summary :: birth outcome newborn 2,Delivery summary,birth outcome newborn 2,Stillbirth,Stillbirth,,,,birth outcome newborn 2,0a88f7c2-e7ba-4863-9d5c-4abd96ef1831
Maternal Inpatient Data,Delivery summary :: birth outcome newborn 2,Delivery summary,birth outcome newborn 2,HEIF Alive,Alive,,,,birth outcome newborn 2,0a88f7c2-e7ba-4863-9d5c-4abd96ef1831
Maternal Inpatient Data,Delivery summary :: birth outcome newborn 4,Delivery summary,birth outcome newborn 4,Stillbirth,Stillbirth,,,,birth outcome newborn 4,8006d014-f167-4cd9-940b-f2c1a020819d
Maternal Inpatient Data,Delivery summary :: birth outcome newborn 4,Delivery summary,birth outcome newborn 4,HEIF Alive,Alive,,,,birth outcome newborn 4,8006d014-f167-4cd9-940b-f2c1a020819d
Maternal Inpatient Data,Delivery summary :: Controlled Cord Traction (CCT),Delivery summary,Controlled Cord Traction (CCT),True,Yes,,,,Controlled Cord Traction (CCT),d6de8d14-f4b6-4aa4-92fa-f155d180b0b1
Maternal Inpatient Data,Delivery summary :: Controlled Cord Traction (CCT),Delivery summary,Controlled Cord Traction (CCT),False,No,,,,Controlled Cord Traction (CCT),d6de8d14-f4b6-4aa4-92fa-f155d180b0b1
Maternal Inpatient Data,Delivery summary :: Episiotomy performed,Delivery summary,Episiotomy performed,True,Yes,,,,Episiotomy performed,b7a68deb-bfba-4a14-a266-56f09cd90ffd
Maternal Inpatient Data,Delivery summary :: Feeding Option,Delivery summary,Feeding Option,EBF,EBF – Exclusive Breastfeeding,,,,Feeding options,3221a81e-0256-11eb-adc1-0242ac120002
Maternal Inpatient Data,Delivery summary :: Feeding Option,Delivery summary,Feeding Option,RF,ERF - Exclusive Replacement Feeding,,,,Feeding options,3221a81e-0256-11eb-adc1-0242ac120002
Maternal Inpatient Data,Delivery summary :: Feeding Option,Delivery summary,Feeding Option,Mixed Breast Feeding,Mixed,,,,Feeding options,3221a81e-0256-11eb-adc1-0242ac120002
Maternal Inpatient Data,Delivery summary :: Gestation,Delivery summary,Gestation,Term GA = 37 weeks,Term,,,,Gestational Age Coded,beed8f8c-040e-11ec-9a03-0242ac130003
Maternal Inpatient Data,Delivery summary :: Gestation,Delivery summary,Gestation,Extremely Preterm GA < 28 wks,Preterm,,,,Gestational Age Coded,beed8f8c-040e-11ec-9a03-0242ac130003
Maternal Inpatient Data,Delivery summary :: Gestation,Delivery summary,Gestation,Very Preterm GA <32 weeks,Preterm,,,,Gestational Age Coded,beed8f8c-040e-11ec-9a03-0242ac130003
Maternal Inpatient Data,Delivery summary :: Gestation,Delivery summary,Gestation,Early Preterm GA 32 - 34 weeks,Preterm,,,,Gestational Age Coded,beed8f8c-040e-11ec-9a03-0242ac130003
Maternal Inpatient Data,Delivery summary :: Gestation,Delivery summary,Gestation,Late Preterm GA 34 -36 wk,Preterm,,,,Gestational Age Coded,beed8f8c-040e-11ec-9a03-0242ac130003
Maternal Inpatient Data,Delivery summary :: Gestation,Delivery summary,Gestation,Post Term GA >41+7 wk,Postterm,,,,Gestational Age Coded,beed8f8c-040e-11ec-9a03-0242ac130003
Maternal Inpatient Data,Delivery summary :: HIV Result,Delivery summary,HIV Result,"VCT, Reactive",+ve,,,,"VCT, HIV Test Result",8dd82beb-7621-4215-b63a-816bbff8aee1
Maternal Inpatient Data,Delivery summary :: HIV Result,Delivery summary,HIV Result,"VCT, Non-Reactive",+ve,,,,"VCT, HIV Test Result",8dd82beb-7621-4215-b63a-816bbff8aee1
Maternal Inpatient Data,Delivery summary :: Laceration Repair,Delivery summary,Laceration Repair,"First Degree Perineal Laceration, with Delivery",1st degree,,,,Delivery Summary Laceration Reparation,1d1c45d8-de55-11eb-ba80-0242ac130004
Maternal Inpatient Data,Delivery summary :: Laceration Repair,Delivery summary,Laceration Repair,"Second Degree Perineal Laceration, with Delivery",2nd degree,,,,Delivery Summary Laceration Reparation,1d1c45d8-de55-11eb-ba80-0242ac130004
Maternal Inpatient Data,Delivery summary :: Laceration Repair,Delivery summary,Laceration Repair,"Third Degree Perineal Laceration, with Delivery",3rd degree,,,,Delivery Summary Laceration Reparation,1d1c45d8-de55-11eb-ba80-0242ac130004
Maternal Inpatient Data,Delivery summary :: Manual Removal of Placenta (MRP),Delivery summary,Manual Removal of Placenta (MRP),True,Yes,,,,Manual Removal of Placenta (MRP),57cb95b1-355d-46f4-9447-286fb23bbda9
Maternal Inpatient Data,Delivery summary :: Manual Removal of Placenta (MRP),Delivery summary,Manual Removal of Placenta (MRP),False,No,,,,Manual Removal of Placenta (MRP),57cb95b1-355d-46f4-9447-286fb23bbda9
Maternal Inpatient Data,Delivery summary :: Measures Taken,Delivery summary,Measures Taken,Managed at facility,Managed at facility,,,,Measures Taken,33ceee3d-4d1d-446c-b4db-7b5a80764381
Maternal Inpatient Data,Delivery summary :: Measures Taken,Delivery summary,Measures Taken,Death during treatment,Death,,,,Measures Taken,33ceee3d-4d1d-446c-b4db-7b5a80764381
Maternal Inpatient Data,Delivery summary :: Measures Taken,Delivery summary,Measures Taken,Referral,Referral,,,,Measures Taken,33ceee3d-4d1d-446c-b4db-7b5a80764381
Maternal Inpatient Data,Delivery summary :: Mode of Delivery maternal,Delivery summary,Mode of Delivery maternal,SVD,Spontaneous Vaginal Delivery (SVD),,,,Mode of delivery,a13314b9-3048-450f-a783-1e1d8d02f87b
Maternal Inpatient Data,Delivery summary :: Mode of Delivery maternal,Delivery summary,Mode of Delivery maternal,Cesarean delivery Emergency,Cesarean Section (C-section),,,,Mode of delivery,a13314b9-3048-450f-a783-1e1d8d02f87b
Maternal Inpatient Data,Delivery summary :: Mode of Delivery maternal,Delivery summary,Mode of Delivery maternal,Cesarean delivery Elective,Cesarean Section (C-section),,,,Mode of delivery,a13314b9-3048-450f-a783-1e1d8d02f87b
Maternal Inpatient Data,Delivery summary :: Newborn Immunizations and Interventions newborn 2,Delivery summary,Newborn Immunizations and Interventions newborn 2,HEIF BCG,BCG,,,,Newborn Immunizations and Interventions newborn 3,84a8a623-8f6e-4d60-875c-8fae0d34a791
Maternal Inpatient Data,Delivery summary :: Newborn Immunizations and Interventions newborn 2,Delivery summary,Newborn Immunizations and Interventions newborn 2,Polio 0 (birth dose),Polio 0 (birth dose),,,,Newborn Immunizations and Interventions newborn 3,84a8a623-8f6e-4d60-875c-8fae0d34a791
Maternal Inpatient Data,Delivery summary :: Newborn Immunizations and Interventions newborn 2,Delivery summary,Newborn Immunizations and Interventions newborn 2,Hepatitis B birth dose,Hepatitis B birth dose,,,,Newborn Immunizations and Interventions newborn 3,84a8a623-8f6e-4d60-875c-8fae0d34a791
Maternal Inpatient Data,Delivery summary :: Newborn Immunizations and Interventions newborn 2,Delivery summary,Newborn Immunizations and Interventions newborn 2,Vitamin K injection,Vitamin K injection,,,,Newborn Immunizations and Interventions newborn 3,84a8a623-8f6e-4d60-875c-8fae0d34a791
Maternal Inpatient Data,Delivery summary :: Newborn Immunizations and Interventions newborn 2,Delivery summary,Newborn Immunizations and Interventions newborn 2,Tetracycline (TTC) eye ointment,Tetracycline (TTC) eye ointment,,,,Newborn Immunizations and Interventions newborn 3,84a8a623-8f6e-4d60-875c-8fae0d34a791
Maternal Inpatient Data,Delivery summary :: Newborn Immunizations and Interventions newborn 2,Delivery summary,Newborn Immunizations and Interventions newborn 2,Skin-to-skin contact,Skin-to-skin contact,,,,Newborn Immunizations and Interventions newborn 3,84a8a623-8f6e-4d60-875c-8fae0d34a791
Maternal Inpatient Data,Delivery summary :: Newborn Immunizations and Interventions newborn 2,Delivery summary,Newborn Immunizations and Interventions newborn 2,IBF,IBF,,,,Newborn Immunizations and Interventions newborn 3,84a8a623-8f6e-4d60-875c-8fae0d34a791
Maternal Inpatient Data,Delivery summary :: Newborn Immunizations and Interventions newborn 3,Delivery summary,Newborn Immunizations and Interventions newborn 3,HEIF BCG,BCG,,,,Newborn Immunizations and Interventions newborn 3,84a8a623-8f6e-4d60-875c-8fae0d34a791
Maternal Inpatient Data,Delivery summary :: Newborn Immunizations and Interventions newborn 3,Delivery summary,Newborn Immunizations and Interventions newborn 3,Polio 0 (birth dose),Polio 0 (birth dose),,,,Newborn Immunizations and Interventions newborn 3,84a8a623-8f6e-4d60-875c-8fae0d34a791
Maternal Inpatient Data,Delivery summary :: Newborn Immunizations and Interventions newborn 3,Delivery summary,Newborn Immunizations and Interventions newborn 3,Hepatitis B birth dose,Hepatitis B birth dose,,,,Newborn Immunizations and Interventions newborn 3,84a8a623-8f6e-4d60-875c-8fae0d34a791
Maternal Inpatient Data,Delivery summary :: Newborn Immunizations and Interventions newborn 3,Delivery summary,Newborn Immunizations and Interventions newborn 3,Vitamin K injection,Vitamin K injection,,,,Newborn Immunizations and Interventions newborn 3,84a8a623-8f6e-4d60-875c-8fae0d34a791
Maternal Inpatient Data,Delivery summary :: Newborn Immunizations and Interventions newborn 3,Delivery summary,Newborn Immunizations and Interventions newborn 3,Tetracycline (TTC) eye ointment,Tetracycline (TTC) eye ointment,,,,Newborn Immunizations and Interventions newborn 3,84a8a623-8f6e-4d60-875c-8fae0d34a791
Maternal Inpatient Data,Delivery summary :: Newborn Immunizations and Interventions newborn 3,Delivery summary,Newborn Immunizations and Interventions newborn 3,Skin-to-skin contact,Skin-to-skin contact,,,,Newborn Immunizations and Interventions newborn 3,84a8a623-8f6e-4d60-875c-8fae0d34a791
Maternal Inpatient Data,Delivery summary :: Newborn Immunizations and Interventions newborn 3,Delivery summary,Newborn Immunizations and Interventions newborn 3,IBF,IBF,,,,Newborn Immunizations and Interventions newborn 3,84a8a623-8f6e-4d60-875c-8fae0d34a791
Maternal Inpatient Data,Delivery summary :: Sex,Delivery summary,Sex,Male,Male,,,,Sex,bd9f7c08-e3b7-11ea-87d0-0242ac130003
Maternal Inpatient Data,Delivery summary :: Sex,Delivery summary,Sex,Female,Female,,,,Sex,bd9f7c08-e3b7-11ea-87d0-0242ac130003
Maternal Inpatient Data,Delivery summary :: Sex,Delivery summary,Sex,Indeterminate,Indeterminate,,,,Sex,bd9f7c08-e3b7-11ea-87d0-0242ac130003
Maternal Inpatient Data,Delivery summary :: Sex newborn 3,Delivery summary,Sex newborn 3,Male,Male,,,,Sex newborn 3,cbc83c41-e02d-43ec-b69d-ea5575173095
Maternal Inpatient Data,Delivery summary :: Sex newborn 3,Delivery summary,Sex newborn 3,"tbrfr, intermediate",Indeterminate,,,,Sex newborn 3,cbc83c41-e02d-43ec-b69d-ea5575173095
Maternal Inpatient Data,Delivery summary :: Sex newborn 3,Delivery summary,Sex newborn 3,Female,Female,,,,Sex newborn 3,cbc83c41-e02d-43ec-b69d-ea5575173095
Maternal Inpatient Data,Delivery summary :: Vacuum/Forceps,Delivery summary,Vacuum/Forceps,True,Yes,,,,Vacuum/Forceps,6de0081d-18f0-4b85-86f3-eb60e2549ee5
Maternal Inpatient Data,Delivery summary :: Vacuum/Forceps,Delivery summary,Vacuum/Forceps,False,No,,,,Vacuum/Forceps,6de0081d-18f0-4b85-86f3-eb60e2549ee5
Maternal Inpatient Data,Discharge Summary :: Condition of Discharge,Discharge Summary,Condition of Discharge,Cured,Cured,,,,Condition of Discharge,365231ed-0b62-46aa-97c8-b51f8a95e58a
Maternal Inpatient Data,Discharge Summary :: Condition of Discharge,Discharge Summary,Condition of Discharge,Improved,Improved,,,,Condition of Discharge,365231ed-0b62-46aa-97c8-b51f8a95e58a
Maternal Inpatient Data,Discharge Summary :: Condition of Discharge,Discharge Summary,Condition of Discharge,Same,Same,,,,Condition of Discharge,365231ed-0b62-46aa-97c8-b51f8a95e58a
Maternal Inpatient Data,Discharge Summary :: Condition of Discharge,Discharge Summary,Condition of Discharge,Dead,Dead,,,,Condition of Discharge,365231ed-0b62-46aa-97c8-b51f8a95e58a
Maternal Inpatient Data,DM followup chart :: 1 hr breakfast,DM followup chart,1 hr breakfast,True,Yes,,,,1 hr breakfast,259c8f6b-aa51-4d9e-be35-c08d53f1e31f
Maternal Inpatient Data,DM followup chart :: 1 hr breakfast,DM followup chart,1 hr breakfast,False,No,,,,1 hr breakfast,259c8f6b-aa51-4d9e-be35-c08d53f1e31f
Maternal Inpatient Data,DM followup chart :: 1 hr dinner,DM followup chart,1 hr dinner,True,Yes,,,,1 hr dinner,0133c1f7-1c2b-4c73-86be-3cc279f9d000
Maternal Inpatient Data,DM followup chart :: 1 hr dinner,DM followup chart,1 hr dinner,False,No,,,,1 hr dinner,0133c1f7-1c2b-4c73-86be-3cc279f9d000
Maternal Inpatient Data,DM followup chart :: 2hr breakfast,DM followup chart,2hr breakfast,True,Yes,,,,2hr breakfast,be5dd76a-1e3b-4257-8f71-1a7573763295
Maternal Inpatient Data,DM followup chart :: 2hr breakfast,DM followup chart,2hr breakfast,False,No,,,,2hr breakfast,be5dd76a-1e3b-4257-8f71-1a7573763295
Maternal Inpatient Data,DM followup chart :: 2hr dinner,DM followup chart,2hr dinner,True,Yes,,,,2hr dinner,992acbb3-67f0-46ab-ac92-75b651c9c37b
Maternal Inpatient Data,DM followup chart :: 2hr dinner,DM followup chart,2hr dinner,False,No,,,,2hr dinner,992acbb3-67f0-46ab-ac92-75b651c9c37b
Maternal Inpatient Data,DM followup chart :: 2hr lunch,DM followup chart,2hr lunch,True,Yes,,,,2hr lunch,ad41e686-ffd4-430c-a298-580c72102028
Maternal Inpatient Data,DM followup chart :: 2hr lunch,DM followup chart,2hr lunch,False,No,,,,2hr lunch,ad41e686-ffd4-430c-a298-580c72102028
Maternal Inpatient Data,Induction and augmentation chart :: Type of procedure IA,Induction and augmentation chart,Type of procedure IA,Induction,Induction,,,,Type of procedure IA,38e34c4e-2d91-4b8f-bd62-1106d4bb555d
Maternal Inpatient Data,Induction and augmentation chart :: Type of procedure IA,Induction and augmentation chart,Type of procedure IA,Augmentation,Augmentation,,,,Type of procedure IA,38e34c4e-2d91-4b8f-bd62-1106d4bb555d
Maternal Inpatient Data,Instrumental Delivery form :: Bladder status ID,Instrumental Delivery form,Bladder status ID,Empty,Empty,,,,Bladder status ID,b1fa5d8a-51ed-44df-a7a0-3dd92f823270
Maternal Inpatient Data,Instrumental Delivery form :: Bladder status ID,Instrumental Delivery form,Bladder status ID,Moderately full,Moderately full,,,,Bladder status ID,b1fa5d8a-51ed-44df-a7a0-3dd92f823270
Maternal Inpatient Data,Instrumental Delivery form :: Bladder status ID,Instrumental Delivery form,Bladder status ID,Distended (Full bladder),Distended (Full bladder),,,,Bladder status ID,b1fa5d8a-51ed-44df-a7a0-3dd92f823270
Maternal Inpatient Data,Instrumental Delivery form :: Bladder status ID,Instrumental Delivery form,Bladder status ID,Catheterized,Catheterized,,,,Bladder status ID,b1fa5d8a-51ed-44df-a7a0-3dd92f823270
Maternal Inpatient Data,Instrumental Delivery form :: Caput ID,Instrumental Delivery form,Caput ID,Mild,Mild,,,,Caput?,759ed4c0-37bc-4ac5-a223-2d578cbcd111
Maternal Inpatient Data,Instrumental Delivery form :: Caput ID,Instrumental Delivery form,Caput ID,Moderate,Moderate,,,,Caput?,759ed4c0-37bc-4ac5-a223-2d578cbcd111
Maternal Inpatient Data,Instrumental Delivery form :: Caput ID,Instrumental Delivery form,Caput ID,Severe,Severe,,,,Caput?,759ed4c0-37bc-4ac5-a223-2d578cbcd111
Maternal Inpatient Data,Instrumental Delivery form :: Forceps type used ID,Instrumental Delivery form,Forceps type used ID,Low forceps,Low forceps,,,,Forceps type used,5427a58f-1b54-4008-991c-5ad837c09e05
