EMR Concept Fully Specified Name,EMR Concept short name,EMR Concept UUID,EMR Concept ID,EMR concept Data Type,EMR Options (Answers),EMR Form Name,EMR Form UUID
Radiology Orders old,Radiology,81e95bce-3f10-11e4-adec-0800271c1b75,33,N/A,,,
Adt Notes,,81eb8536-3f10-11e4-adec-0800271c1b75,34,Text,,,
Document,,81f330b5-3f10-11e4-adec-0800271c1b75,35,Text,,,
LABRESULTS_CONCEPT,LABRESULTS_CONCEPT,82042d27-3f10-11e4-adec-0800271c1b75,36,N/A,,,
LAB_RESULT,LAB_RESULT,820496d3-3f10-11e4-adec-0800271c1b75,37,Text,,,
LAB_NOTES,LAB_NOTES,8205710d-3f10-11e4-adec-0800271c1b75,38,Text,,,
LAB_MINNORMAL,LAB_MINNORMAL,82063446-3f10-11e4-adec-0800271c1b75,39,Numeric,,,
LAB_MAXNORMAL,LAB_MAXNORMAL,8206f0cb-3f10-11e4-adec-0800271c1b75,40,Numeric,,,
LAB_ABNORMAL,LAB_ABNORMAL,8207b3e9-3f10-11e4-adec-0800271c1b75,41,Boolean,,,
REFERRED_OUT,REFERRED_OUT,821eb0cd-3f10-11e4-adec-0800271c1b75,42,Boolean,,,
Lab Order Notes,Lab Order Notes,822610ae-3f10-11e4-adec-0800271c1b75,44,Text,,,
All_Tests_and_Panels_old,A_T_and_P,8227f47f-3f10-11e4-adec-0800271c1b75,45,N/A,,,
XCompoundObservation,,8229c7b3-3f10-11e4-adec-0800271c1b75,46,N/A,,,
IS_ABNORMAL,,822a2eca-3f10-11e4-adec-0800271c1b75,47,Boolean,,,
Ruled Out Diagnosis,Ruled Out Diagnosis,823051c4-3f10-11e4-adec-0800271c1b75,48,N/A,,,
Bahmni Diagnosis Status,Bahmni Diagnosis Status,82389c0c-3f10-11e4-adec-0800271c1b75,49,Coded,,,
Bahmni Initial Diagnosis,Bahmni Initial Diagnosis,82397881-3f10-11e4-adec-0800271c1b75,50,Text,,,
Bahmni Diagnosis Revised,Bahmni Diagnosis Revised,823a4d34-3f10-11e4-adec-0800271c1b75,51,Boolean,,,
Lab Manager Notes,Lab Manager Notes,823ccf69-3f10-11e4-adec-0800271c1b75,52,N/A,,,
Accession Uuid,Accession Uuid,8241726e-3f10-11e4-adec-0800271c1b75,53,N/A,,,
Nutritional Values,,84f626d0-3f10-11e4-adec-0800271c1b75,55,Numeric,,,
Dose Quantity Units,Dose            Quantity Units,87a0c56d-3f10-11e4-adec-0800271c1b75,56,N/A,,,
Dosing Units,dosing  units,9d5b708e-3f10-11e4-adec-0800271c1b75,57,N/A,,,
Teaspoon,teaspoon,9d5d5f6e-3f10-11e4-adec-0800271c1b75,60,N/A,,,
Tablespoon,tablespoon,9d5e14bb-3f10-11e4-adec-0800271c1b75,61,N/A,,,
Drop,Drop,9d6540e1-3f10-11e4-adec-0800271c1b75,62,N/A,,,
ml,ml,9d65f54b-3f10-11e4-adec-0800271c1b75,63,N/A,,,
mg,mg,9d6691d8-3f10-11e4-adec-0800271c1b75,64,N/A,,,
Drug Routes,drug routes,9d697972-3f10-11e4-adec-0800271c1b75,65,N/A,,,
Intramuscular,IM,9d6a6195-3f10-11e4-adec-0800271c1b75,66,N/A,,,
Intravenous,IV,9d6b10cc-3f10-11e4-adec-0800271c1b75,67,N/A,,,
Oral,PO,9d6bc13f-3f10-11e4-adec-0800271c1b75,68,Numeric,,,
Per Vaginal,PV,9d6c9153-3f10-11e4-adec-0800271c1b75,69,N/A,,,
Sub Cutaneous,SC,9d6d68b2-3f10-11e4-adec-0800271c1b75,70,N/A,,,
Per Rectum,PR,9d6e3986-3f10-11e4-adec-0800271c1b75,71,N/A,,,
Sub Lingual,SL,9d6f100e-3f10-11e4-adec-0800271c1b75,72,N/A,,,
Nasogastric,NG,9d70d799-3f10-11e4-adec-0800271c1b75,74,N/A,,,
Duration Units,duration units,9d735b63-3f10-11e4-adec-0800271c1b75,75,N/A,,,
Day(s),day(s),9d7437a9-3f10-11e4-adec-0800271c1b75,76,N/A,,,
Once a day,OD,9d77abd7-3f10-11e4-adec-0800271c1b75,77,N/A,,,
Twice a day,BD,9d7c81f9-3f10-11e4-adec-0800271c1b75,78,N/A,,,
Thrice a day,TDS,9d7d753b-3f10-11e4-adec-0800271c1b75,79,N/A,,,
Four times a day,QDS,9d83d5f2-3f10-11e4-adec-0800271c1b75,80,N/A,,,
Dosing Instructions,Dosing Instructions,9d86785e-3f10-11e4-adec-0800271c1b75,81,N/A,,,
Before meals,ac,9d875aac-3f10-11e4-adec-0800271c1b75,82,N/A,,,
Empty stomach,,9d8843ed-3f10-11e4-adec-0800271c1b75,83,N/A,,,
After meals,pc,9d88ea4d-3f10-11e4-adec-0800271c1b75,84,N/A,,,
In the morning,cm,9d89caea-3f10-11e4-adec-0800271c1b75,85,N/A,,,
In the evening,,9d8a7236-3f10-11e4-adec-0800271c1b75,86,N/A,,,
At bedtime,hs,9d8dbcd7-3f10-11e4-adec-0800271c1b75,87,N/A,,,
Immediately,STAT,9d8e6918-3f10-11e4-adec-0800271c1b75,88,N/A,,,
As directed,,9d8f3516-3f10-11e4-adec-0800271c1b75,89,N/A,,,
All Observation Templates,All Observation templates,9d91cb77-3f10-11e4-adec-0800271c1b75,90,N/A,,,
LAB_REPORT,LAB_REPORT,bb5e4849-3f10-11e4-adec-0800271c1b75,91,Text,,,
Hour(s),hour(s),bb62c684-3f10-11e4-adec-0800271c1b75,92,N/A,,,
Week(s),week(s),bb6436e3-3f10-11e4-adec-0800271c1b75,93,N/A,,,
Month(s),month(s),bb655344-3f10-11e4-adec-0800271c1b75,94,N/A,,,
Impression,Impression,bbad3db9-3f10-11e4-adec-0800271c1b75,95,Text,,,
Class,class,c1fac160-3f10-11e4-adec-0800271c1b75,96,Coded,OBC; General; SC; ST; Other caste,,
OBC,OBC,c1fb51cc-3f10-11e4-adec-0800271c1b75,97,Text,,,
General,General,c1fc20ab-3f10-11e4-adec-0800271c1b75,98,Text,,,
SC,SC,c1fcd1c6-3f10-11e4-adec-0800271c1b75,99,Text,,,
ST,ST,c20478b6-3f10-11e4-adec-0800271c1b75,100,Text,,,
Other caste,Other caste,c207073d-3f10-11e4-adec-0800271c1b75,101,Text,,,
Education Details,education,c2084e7b-3f10-11e4-adec-0800271c1b75,102,Coded,Uneducated; 5th Pass and Below; 6th to 9th; 10th pass; 12th pass; Graduate and Above,,
Uneducated,Uneducated,c2107f30-3f10-11e4-adec-0800271c1b75,103,Text,,,
5th Pass and Below,5th Pass and Below,c211442b-3f10-11e4-adec-0800271c1b75,104,Text,,,
6th to 9th,6th to 9th,c2123edc-3f10-11e4-adec-0800271c1b75,105,Text,,,
10th pass,10th pass,c2139dd9-3f10-11e4-adec-0800271c1b75,106,Text,,,
12th pass,12th pass,c214d657-3f10-11e4-adec-0800271c1b75,107,Text,,,
Graduate and Above,Graduate and Above,c22054ce-3f10-11e4-adec-0800271c1b75,108,Text,,,
Occupation,occupation,c221869a-3f10-11e4-adec-0800271c1b75,109,Coded,Unemployed; Student; Government; Business; Housewife; Labour,,
Unemployed,Unemployed,c2222941-3f10-11e4-adec-0800271c1b75,110,N/A,,,
Student,Student,c2232daf-3f10-11e4-adec-0800271c1b75,111,N/A,,,
Government,Government,c223fe8d-3f10-11e4-adec-0800271c1b75,112,N/A,,,
Business,Business,c224c534-3f10-11e4-adec-0800271c1b75,113,Text,,,
Housewife,Housewife,c2259b07-3f10-11e4-adec-0800271c1b75,114,N/A,,,
Labour,Labour,c22666ac-3f10-11e4-adec-0800271c1b75,115,Text,,,
Comments,COMMENTS,c3659bf9-3f10-11e4-adec-0800271c1b75,116,Text,,,
REGISTRATION FEES,REGISTRATION FEES,c366184c-3f10-11e4-adec-0800271c1b75,117,Numeric,,,
HEIGHT,HEIGHT,5090AAAAAAAAAAAAAAAAAAAAAAAAAAAA,118,Numeric,,,
Weight,WEIGHT,5089AAAAAAAAAAAAAAAAAAAAAAAAAAAA,119,Numeric,,,
BMI,BMI,c367d9ee-3f10-11e4-adec-0800271c1b75,120,Numeric,,,
BMI STATUS,BMI STATUS,c368694c-3f10-11e4-adec-0800271c1b75,121,Text,,,
Vitals,Vitals,c36a7537-3f10-11e4-adec-0800271c1b75,122,N/A,,,
Pulse oximeter-handheld,Pulse,c36af094-3f10-11e4-adec-0800271c1b75,123,N/A,,,
Pulse,Pulse,c36bc411-3f10-11e4-adec-0800271c1b75,124,Numeric,,,
Pulse Abnormal,Pulse Abnormal,c36c7c98-3f10-11e4-adec-0800271c1b75,125,Boolean,,,
Blood Pressure,Blood Pressure,c36d22e6-3f10-11e4-adec-0800271c1b75,126,N/A,,,
Systolic Data,Systolic,c36ddb6d-3f10-11e4-adec-0800271c1b75,127,N/A,,,
Systolic,Systolic,c36e9c8b-3f10-11e4-adec-0800271c1b75,128,Numeric,,,
Systolic Abnormal,Systolic Abnormal,c36f5a8b-3f10-11e4-adec-0800271c1b75,129,Boolean,,,
Diastolic Data,Diastolic,c378f635-3f10-11e4-adec-0800271c1b75,130,N/A,,,
Diastolic,Diastolic,c379aa1d-3f10-11e4-adec-0800271c1b75,131,Numeric,,,
Diastolic Abnormal,Diastolic Abnormal,c37a5735-3f10-11e4-adec-0800271c1b75,132,Boolean,,,
Temperature Data,Temperature,c37afa71-3f10-11e4-adec-0800271c1b75,133,N/A,,,
Temperature,Temperature,c37bd733-3f10-11e4-adec-0800271c1b75,134,Numeric,,,
Temperature Abnormal,Temperature Abnormal,c37c942d-3f10-11e4-adec-0800271c1b75,135,Boolean,,,
RR Data,RR,c37d3f27-3f10-11e4-adec-0800271c1b75,136,N/A,,,
Respiratory Rate Numeric,RR,c37e0f37-3f10-11e4-adec-0800271c1b75,137,Numeric,,,
RR Abnormal,Temperature Abnormal,c37f16d3-3f10-11e4-adec-0800271c1b75,138,Boolean,,,
SPO2 Data,SPO2,c37fc55f-3f10-11e4-adec-0800271c1b75,139,N/A,,,
SPO2 Numeric,SPO2,c3838414-3f10-11e4-adec-0800271c1b75,140,Numeric,,,
SPO2 Abnormal,Temperature Abnormal,c384402b-3f10-11e4-adec-0800271c1b75,141,Boolean,,,
Second Vitals,Second Vitals,c38669d1-3f10-11e4-adec-0800271c1b75,142,N/A,,,
Discharge Summary,Discharge Summary,c389d0ea-3f10-11e4-adec-0800271c1b75,143,N/A,,,
Hospital Course,Hospital Course,c38a88af-3f10-11e4-adec-0800271c1b75,144,Text,,,
History and Examination Notes,History and Examination Notes,c38b363a-3f10-11e4-adec-0800271c1b75,145,Text,,,
 Surgeries and Procedures, Surgeries and Procedures,c38c212e-3f10-11e4-adec-0800271c1b75,146,N/A,,,
Date of Operation,Date of Operation,c38ce391-3f10-11e4-adec-0800271c1b75,147,Date,,,
Operative Procedure,Operative Procedure,c38d98cd-3f10-11e4-adec-0800271c1b75,148,Text,,,
Follow up Date,Follow up Date,c38e5cc4-3f10-11e4-adec-0800271c1b75,149,Date,,,
Investigation Notes,Lab Investigation done and result,c38f4755-3f10-11e4-adec-0800271c1b75,150,Text,,,
Radiology Notes,Radiology Notes,c3901c02-3f10-11e4-adec-0800271c1b75,151,Text,,,
Other Notes,Other,c390cca0-3f10-11e4-adec-0800271c1b75,152,Text,,,
Additional Advice on Discharge,Additional Advice on Discharge,c39178b2-3f10-11e4-adec-0800271c1b75,153,Text,,,
History and Physical Examination,History and Physical Examination,c393fd1d-3f10-11e4-adec-0800271c1b75,154,N/A,,,
Chief Complaint Data,Chief Complaint,c3949eb6-3f10-11e4-adec-0800271c1b75,155,N/A,,,
Chief Complaint,Chief Complaint,c3959ab5-3f10-11e4-adec-0800271c1b75,156,Coded,"ABDOMINAL CRAMPS; ABDOMINAL DISCOMFORT; Abdominal distension; ABDOMINAL FULLNESS; Abdominal pain; ABDOMINAL PAIN - COLICKY; Chest Pain; ABDOMINAL PAIN - GENERAL; ABDOMINAL PAIN - LEFT; ABDOMINAL PAIN - LEFT LOWER; COUGH; ABDOMINAL PAIN - RIGHT; ABDOMINAL PAIN - RIGHT LOWER; ABDOMINAL PAIN - RIGHT UPPER; ABDOMINAL PAIN - UMBILICAL; EPISTAXIS; ABNORMAL BLOOD PRESSURE; ABNORMAL BLOOD SUGAR; ABNORMAL CRYING; FEVER; ABSCESS; ABSCESS - ARM; ABSCESS - AXILLA; HEADACHE; Hearing Loss; ABSCESS - FOOT; ABSCESS - INCISION; ABSCESS - LEG; ABSCESS - NECK; ABSCESS - PERIANAL; ABSCESS - PERINEAL; ABSCESS - RECT; INJURY; ABSCESS - UMBILICAL; AGITATION; Localized swelling/mass, superficial; ALTERED MENTAL STATUS; ANIMAL ATTACK - COW; Memory loss; Assault; Nausea w/ vomiting; BACK ACHE; Nocturia; BITE; BITE - CAT; BITE - DOG; BITE - HUMAN; PALPITATIONS; BLEEDING; BLEEDING - ARM; BLEEDING - CHEEK; BLEEDING - CHIN; BLEEDING - EAR; BLEEDING - EYE; BLEEDING - EYELID; BLEEDING - FACE; BLEEDING - FACIAL; BLEEDING - FINGER; BLEEDING - FOOT; BLEEDING - FOREHEAD; Vomiting; BLEEDING - HAND; BLEEDING - HEAD",,
Non-Coded Chief Complaint,Non-Coded Chief Complaint,c3966752-3f10-11e4-adec-0800271c1b75,157,Text,,,
Chief Complaint Duration,Chief Complaint Duration,c3975851-3f10-11e4-adec-0800271c1b75,158,Numeric,,,
Chief Complaint Notes,Chief Complaint Notes,c398a4be-3f10-11e4-adec-0800271c1b75,159,Text,,,
History Notes,History Notes,c3998f6b-3f10-11e4-adec-0800271c1b75,160,Text,,,
Examination Notes,Examination Notes,c39a35e2-3f10-11e4-adec-0800271c1b75,161,Text,,,
Radiology,radiology,c39d6a53-3f10-11e4-adec-0800271c1b75,162,N/A,,,
Chest,chest,c39e2ed1-3f10-11e4-adec-0800271c1b75,163,N/A,,,
"Chest, 1 view (X-ray)","chest, 1 view (x-ray)",c39ed470-3f10-11e4-adec-0800271c1b75,164,N/A,,,
Spine,spine,c3a08594-3f10-11e4-adec-0800271c1b75,165,Text,,,
"Spine, 1 view (X-ray)","spine, 1 view (x-ray)",c3a139d6-3f10-11e4-adec-0800271c1b75,166,Text,,,
Pelvis,pelvis,c3a261ca-3f10-11e4-adec-0800271c1b75,167,Text,,,
"Pelvis, 1 view (X-ray)","pelvis, 1 view (x-ray)",c3a3028b-3f10-11e4-adec-0800271c1b75,168,N/A,,,
Abdomen,abdomen,c3a44eef-3f10-11e4-adec-0800271c1b75,169,N/A,,,
"Abdomen, 1 view (X-ray)","abdomen, 1 view (x-ray)",c3a5122b-3f10-11e4-adec-0800271c1b75,170,N/A,,,
Knee,knee,c3a65505-3f10-11e4-adec-0800271c1b75,171,N/A,,,
"Knee - Left, 1 or 2 views (X-ray)","knee - left, 1 or 2 views (x-ray)",c3a6ed57-3f10-11e4-adec-0800271c1b75,172,N/A,,,
"Knee - Right, 1 or 2 views (X-ray)","knee - right, 1 or 2 views (x-ray)",c3a8b75e-3f10-11e4-adec-0800271c1b75,173,N/A,,,
"Chest, 2 views (X-ray)","chest, 2 views (x-ray)",c3aa95dc-3f10-11e4-adec-0800271c1b75,174,N/A,,,
Hip,hip,c3abcfbf-3f10-11e4-adec-0800271c1b75,175,N/A,,,
"Hip - Left, 2 views (X-ray)","hip - left, 2 views (x-ray)",c3ac6f4f-3f10-11e4-adec-0800271c1b75,176,N/A,,,
Hand,hand,c3ae2b5a-3f10-11e4-adec-0800271c1b75,177,N/A,,,
"Hand - Left, 2 views (X-ray)","hand - left, 2 views (x-ray)",c3aec851-3f10-11e4-adec-0800271c1b75,178,N/A,,,
"Hip - Right, 2 views (X-ray)","hip - right, 2 views (x-ray)",c3b058cd-3f10-11e4-adec-0800271c1b75,179,N/A,,,
Ribs,ribs,c3b1f12e-3f10-11e4-adec-0800271c1b75,180,Text,,,
"Ribs - Left, 2 views (X-ray)","ribs - left, 2 views (x-ray)",c3b29625-3f10-11e4-adec-0800271c1b75,181,Text,,,
Leg,leg,c3b479bc-3f10-11e4-adec-0800271c1b75,182,N/A,,,
"Foot - Left, 2 views (X-ray)","foot - left, 2 views (x-ray)",c3b514b9-3f10-11e4-adec-0800271c1b75,183,N/A,,,
"Femur - Left, 2 views (X-ray)","femur - left, 2 views (x-ray)",c3b6c746-3f10-11e4-adec-0800271c1b75,184,N/A,,,
"Ribs - Right, 2 views (X-ray)","ribs - right, 2 views (x-ray)",c3b84cca-3f10-11e4-adec-0800271c1b75,185,Text,,,
"Foot - Right, 2 views (X-ray)","foot - right, 2 views (x-ray)",c3b9d054-3f10-11e4-adec-0800271c1b75,186,N/A,,,
Arm,arm,c3bc017f-3f10-11e4-adec-0800271c1b75,187,N/A,,,
"Elbow - Left, 2 views (X-ray)","elbow - left, 2 views (x-ray)",c3bcdeba-3f10-11e4-adec-0800271c1b75,188,N/A,,,
"Hand - Right, 2 views (X-ray)","hand - right, 2 views (x-ray)",c3beacc2-3f10-11e4-adec-0800271c1b75,189,N/A,,,
"Wrist - Left, 2 views (X-ray)","wrist - left, 2 views (x-ray)",c3c03f40-3f10-11e4-adec-0800271c1b75,190,N/A,,,
"Elbow - Right, 2 views (X-ray)","elbow - right, 2 views (x-ray)",c3c18d43-3f10-11e4-adec-0800271c1b75,191,N/A,,,
"Wrist - Right, 2 views (X-ray)","wrist - right, 2 views (x-ray)",c3c2d42a-3f10-11e4-adec-0800271c1b75,192,N/A,,,
"Femur - Right, 2 views (X-ray)","femur - right, 2 views (x-ray)",c3c46cb0-3f10-11e4-adec-0800271c1b75,193,N/A,,,
"Forearm - Left, 2 views (X-ray)","forearm - left, 2 views (x-ray)",c3c60a12-3f10-11e4-adec-0800271c1b75,194,N/A,,,
"Humerus - Left, 2 views (X-ray)","humerus - left, 2 views (x-ray)",c3c787c6-3f10-11e4-adec-0800271c1b75,195,N/A,,,
"Lumbar spine, 2 or 3 views (X-ray)","lumbar spine, 2 or 3 views (x-ray)",c3c92a6d-3f10-11e4-adec-0800271c1b75,196,Text,,,
"Forearm - Right, 2 views (X-ray)","forearm - right, 2 views (x-ray)",c3cad75e-3f10-11e4-adec-0800271c1b75,197,N/A,,,
Shoulder,shoulder,c3cc49a1-3f10-11e4-adec-0800271c1b75,198,Text,,,
"Clavicle - Left, 2 views (X-ray)","clavicle - left, 2 views (x-ray)",c3cce850-3f10-11e4-adec-0800271c1b75,199,Text,,,
"Humerus - Right, 2 views (X-ray)","humerus - right, 2 views (x-ray)",c3ce7ee1-3f10-11e4-adec-0800271c1b75,200,N/A,,,
"Shoulder - Left, 2 views (X-ray)","shoulder - left, 2 views (x-ray)",c3d0072d-3f10-11e4-adec-0800271c1b75,201,Text,,,
"Shoulder - Right, 2 views (X-ray)","shoulder - right, 2 views (x-ray)",c3d18b79-3f10-11e4-adec-0800271c1b75,202,Text,,,
"Lower leg - Left, 2 views (X-ray)","lower leg - left, 2 views (x-ray)",c3d30eb1-3f10-11e4-adec-0800271c1b75,203,N/A,,,
"Calcaneus - Left, 2 views (X-ray)","calcaneus - left, 2 views (x-ray)",c3d4e78f-3f10-11e4-adec-0800271c1b75,204,N/A,,,
"Thoracic spine, 2 views (X-ray)","thoracic spine, 2 views (x-ray)",c3d6800c-3f10-11e4-adec-0800271c1b75,205,Text,,,
"Clavicle - Right, 2 views (X-ray)","clavicle - right, 2 views (x-ray)",c3d7c845-3f10-11e4-adec-0800271c1b75,206,Text,,,
"Lower leg - Right, 2 views (X-ray)","lower leg - right, 2 views (x-ray)",c3d97136-3f10-11e4-adec-0800271c1b75,207,N/A,,,
"Calcaneus - Right, 2 views (X-ray)","calcaneus - right, 2 views (x-ray)",c3db4514-3f10-11e4-adec-0800271c1b75,208,N/A,,,
"Cervical spine, 2 or 3 views (X-ray)","cervical spine, 2 or 3 views (x-ray)",c3dccb7d-3f10-11e4-adec-0800271c1b75,209,Text,,,
"Thoracic and lumbar spine, 2 views (X-ray)","thoracic and lumbar spine, 2 views (x-ray)",c3de80e0-3f10-11e4-adec-0800271c1b75,210,Text,,,
Face,face,c3e03426-3f10-11e4-adec-0800271c1b75,211,N/A,,,
"Sinuses, 3 views (X-ray)","sinuses, 3 views (x-ray)",c3e0c865-3f10-11e4-adec-0800271c1b75,212,N/A,,,
"Facial bones, 3 views (X-ray)","facial bones, 3 views (x-ray)",c3e218c9-3f10-11e4-adec-0800271c1b75,213,N/A,,,
Head,head,c3e365bf-3f10-11e4-adec-0800271c1b75,214,Text,,,
"Skull, 4 views (X-ray)","skull, 4 views (x-ray)",c3e3f964-3f10-11e4-adec-0800271c1b75,215,N/A,,,
"Chest, 4 views (X-ray)","chest, 4 views (x-ray)",c3e5362b-3f10-11e4-adec-0800271c1b75,216,N/A,,,
Mandible panorex (X-ray),mandible panorex (x-ray),c3e66dad-3f10-11e4-adec-0800271c1b75,217,N/A,,,
Chest lordotic (X-ray),chest lordotic (x-ray),c3e777e8-3f10-11e4-adec-0800271c1b75,218,N/A,,,
Chest oblique - Bilateral (X-ray),chest oblique - bilateral (x-ray),c3e8841a-3f10-11e4-adec-0800271c1b75,219,N/A,,,
Other Radiology,other,c3e9f0a3-3f10-11e4-adec-0800271c1b75,220,N/A,,,
Kidney retrograde pyelogram (X-ray),kidney retrograde pyelogram (x-ray),c3ea8a0e-3f10-11e4-adec-0800271c1b75,221,N/A,,,
Acromioclavicular joints - Bilateral (X-ray),acromioclavicular joints - bilateral (x-ray),c3ebd804-3f10-11e4-adec-0800271c1b75,222,Text,,,
Abdomen AP (supine and lateraldecubitus) (X-ray),abdomen ap (supine and lateraldecubitus) (x-ray),c3ed269d-3f10-11e4-adec-0800271c1b75,223,N/A,,,
"Ankle - Left, 3 views (X-ray)","ankle - left, 3 views (x-ray)",c3eeafc9-3f10-11e4-adec-0800271c1b75,224,N/A,,,
"Ankle - Right, 3 views (X-ray)","ankle - right, 3 views (x-ray)",c3f0315e-3f10-11e4-adec-0800271c1b75,225,N/A,,,
Neck,neck,c3f1bf99-3f10-11e4-adec-0800271c1b75,226,N/A,,,
Neck soft tissue (X-ray),neck soft tissue (x-ray),c3f25c1e-3f10-11e4-adec-0800271c1b75,227,N/A,,,
"Temporomandibular joint, bilateral (XRay)","temporomandibular joint, bilateral (xray)",c3f38c38-3f10-11e4-adec-0800271c1b75,228,N/A,,,
"Skull, 2 views (X-ray)","skull, 2 views (x-ray)",c3f5d786-3f10-11e4-adec-0800271c1b75,229,N/A,,,
Endoscopy,endoscopy,c3f71780-3f10-11e4-adec-0800271c1b75,230,N/A,,,
Advanced Procedure,advanced procedure,c3f7b273-3f10-11e4-adec-0800271c1b75,231,N/A,,,
Anoscopy,anoscopy,c3f88550-3f10-11e4-adec-0800271c1b75,232,Text,,,
Bronchoscopy,bronchoscopy,c3f91846-3f10-11e4-adec-0800271c1b75,233,Text,,,
Colonoscopy,colonoscopy,c3f9bda3-3f10-11e4-adec-0800271c1b75,234,Text,,,
Cystoscopy,cystoscopy,c3fa83dd-3f10-11e4-adec-0800271c1b75,235,Text,,,
Normal Procedure,normal procedure,c3fb5936-3f10-11e4-adec-0800271c1b75,236,N/A,,,
Esophagogastroduodenoscopy (EGD),esophagogastroduodenoscopy (egd),c3fc349e-3f10-11e4-adec-0800271c1b75,237,Text,,,
Enteroscopy,enteroscopy,c3fd3333-3f10-11e4-adec-0800271c1b75,238,Text,,,
Endoscopic retrograde cholangiopancreatography (ERCP),endoscopic retrograde cholangiopancreatography (ercp),c3fdfbb5-3f10-11e4-adec-0800271c1b75,239,Text,,,
Laparoscopy,laparoscopy,c3ff264a-3f10-11e4-adec-0800271c1b75,240,Text,,,
Sigmoidoscopy,sigmoidoscopy,c3ffeda6-3f10-11e4-adec-0800271c1b75,241,Text,,,
ARM Clavicle AP,arm clavicle ap,c400c1ea-3f10-11e4-adec-0800271c1b75,242,N/A,,,
ARM Scapula AP,arm scapula ap,c401d630-3f10-11e4-adec-0800271c1b75,243,N/A,,,
ARM Scapula Lateral,arm scapula lateral,c402df4f-3f10-11e4-adec-0800271c1b75,244,N/A,,,
ARM Shoulder AP,arm shoulder ap,c403d175-3f10-11e4-adec-0800271c1b75,245,N/A,,,
ARM Shoulder Axial,arm shoulder axial,c404b7c5-3f10-11e4-adec-0800271c1b75,246,N/A,,,
ARM Humerus AP,arm humerus ap,c4065166-3f10-11e4-adec-0800271c1b75,247,N/A,,,
ARM Humerus Lateral,arm humerus lateral,c4075413-3f10-11e4-adec-0800271c1b75,248,N/A,,,
ARM Elbow AP,arm elbow ap,c4086b26-3f10-11e4-adec-0800271c1b75,249,N/A,,,
